,name_input,name_result,mst,address
487,CÔNG TY TNHH NOVA PROPERTY MANAGEMENT,CÔNG TY TNHH NOVA PROPERTY MANAGEMENT,0314615910,"Địa chỉ: 65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh"
488,CÔNG TY TNHH MỘT THÀNH VIÊN ỐNG THÉP NAM KIM,2,,
489,CÔNG TY TNHH MỘT THÀNH VIÊN ỐNG THÉP NAM KIM CHU LAI,Không có kết quả,,
490,3D PRINTING & PRINTERS,CÔNG TY TNHH YP 3D PRINTING,0317320792,"Địa chỉ: 954/15 Quang Trung, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh"
491,"BQ-MUNDO RADER, UNIPESSOAL LDA",Không có kết quả,,
492,MUNDO READER FRANCE S.A.R.L,Không có kết quả,,
493,CÔNG TY CỔ PHẦN GỖ LỘC NINH,CÔNG TY CỔ PHẦN GỖ LỘC NINH,3801152225,"Địa chỉ: Đường Điện Biên Phủ, Khu phố Ninh Thuận, Thị trấn Lộc Ninh, Huyện Lộc Ninh, Bình Phước"
494,CÔNG TY CỔ PHẦN CAO SU SA THẦY,CÔNG TY CỔ PHẦN CAO SU SA THẦY,6100229387,"Địa chỉ: Số nhà 380E, Đường Phan Đình Phùng, Phường Ngô Mây, Thành phố Kon Tum, Kon Tum"
495,CÔNG TY TNHH ĐẦU TƯ VÀ BẤT ĐỘNG SẢN TƯỜNG MINH,CÔNG TY TNHH ĐẦU TƯ VÀ BẤT ĐỘNG SẢN TƯỜNG MINH,0313007973,"Địa chỉ: Số 4.27, Tầng 4, Khu Officetel, Dự án Thương mại, dịch vụ, v, Phường 09, Quận Phú Nhuận, TP Hồ Chí Minh"
496,CÔNG TY TNHH NOVA SASCO,2,,
497,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN PHƯỚC LONG,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN PHƯỚC LONG,0310303195,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
498,CÔNG TY TNHH ĐẦU TƯ ĐỊA ỐC NOVA SAIGON ROYAL,CÔNG TY TNHH ĐẦU TƯ ĐỊA ỐC NOVA SAIGON ROYAL,0311931153,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
499,CÔNG TY TNHH NO VA THẢO ĐIỀN,CÔNG TY TNHH NO VA THẢO ĐIỀN,0305703102,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
500,CÔNG TY CỔ PHẦN NOVA NIPPON,CÔNG TY CỔ PHẦN NOVA NIPPON,0313364220,"Địa chỉ: 65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh"
501,CÔNG TY CỔ PHẦN DỊCH VỤ NHIÊN LIỆU HÀNG KHÔNG NỘI BÀI (NAFSC),Không có kết quả,,
502,CÔNG TY TNHH DỊCH VỤ BẢO DƯỠNG MÁY BAY CẢNG HÀNG KHÔNG MIỀN NAM,CÔNG TY TNHH DỊCH VỤ BẢO DƯỠNG MÁY BAY CẢNG HÀNG KHÔNG MIỀN NAM,0310005696,"Địa chỉ: Phòng 401, tầng 4, Tòa nhà văn phòng SCSC, Số 30, Đường Phan, Phường 4, Quận Tân Bình, TP Hồ Chí Minh"
503,MUNDO READER GMBH,Không có kết quả,,
504,MUNDO READER S.R.L.,Không có kết quả,,
505,CÔNG TY CỔ PHẦN CAO SU DẦU TIẾNG - KRATIE,CÔNG TY CỔ PHẦN CAO SU DẦU TIẾNG KRATIE,3701649006,"Địa chỉ: Số 33, Tổ 26, Khu phố 2, Thị trấn Dầu Tiếng, Huyện Dầu Tiếng, Bình Dương"
506,CÔNG TY CỔ PHẦN VRG - PHÚ YÊN,Không có kết quả,,
507,CÔNG TY CỔ PHẦN NOVA HOSPITALITY,2,,
508,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẦU TƯ BẤT ĐỘNG SẢN PHÚ TRÍ,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẦU TƯ BẤT ĐỘNG SẢN PHÚ TRÍ,0310257372,"Địa chỉ: 299 Tôn Thất Thuyết, phường 01, Quận 4, TP Hồ Chí Minh"
509,CÔNG TY TNHH MỘT THÀNH VIÊN QUẢN LÝ NỢ VÀ KHAI THÁC TÀI SẢN NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẮC Á,Không có kết quả,,
510,CÔNG TY TNHH KIỀU HỐI ĐÔNG Á,CÔNG TY TNHH KIỀU HỐI ĐÔNG Á,0302391568,"Địa chỉ: 468 Nguyễn Thị Minh Khai, Phường 02, Quận 3, TP Hồ Chí Minh"
511,SMART EUROPEAN DEVICES LIMITED,Không có kết quả,,
512,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CAO SU NGHỆ AN,Không có kết quả,,
513,CÔNG TY TNHH BẤT ĐỘNG SẢN NOVA RIVERSIDE,2,,
514,CÔNG TY CỔ PHẦN NOVA RICHSTAR,CÔNG TY CỔ PHẦN NOVA RICHSTAR,0300659770,"Địa chỉ: 241 Hòa Bình, Phường Hiệp Tân, Quận Tân phú, TP Hồ Chí Minh"
515,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NHÀ RỒNG,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NHÀ RỒNG,0305036635,"Địa chỉ: 34-35 Bến Vân Đồn, phường 12, Quận 4, TP Hồ Chí Minh"
516,CÔNG TY CỔ PHẦN KINH DOANH BẤT ĐỘNG SẢN THÁI BÌNH,2,,
517,CÔNG TY TNHH DẦU THỰC VẬT DABACO,CÔNG TY TNHH DẦU THỰC VẬT DABACO,2300982079,"Địa chỉ: Cụm công nghiệp Tân Chi, Xã Tân Chi, Huyện Tiên Du, Bắc Ninh"
518,CÔNG TY TNHH DABACO BÌNH PHƯỚC,CÔNG TY TNHH DABACO BÌNH PHƯỚC,3801149857,"Địa chỉ: ấp Suối Đôi, Xã Tân Hưng, Huyện Đồng Phú, Bình Phước"
519,CÔNG TY TNHH LỢN GIỐNG HẠT NHÂN DABACO,CÔNG TY TNHH LỢN GIỐNG HẠT NHÂN DABACO,2300556899,"Địa chỉ: Thôn Tư Chi, Xã Tân Chi, Huyện Tiên Du, Bắc Ninh"
520,CÔNG TY TNHH MỘT THÀNH VIÊN LỢN GIỐNG LẠC VỆ,CÔNG TY TNHH MỘT THÀNH VIÊN LỢN GIỐNG LẠC VỆ,2300560704,"Địa chỉ: Thôn Hộ Vệ, Xã Lạc Vệ, Huyện Tiên Du, Bắc Ninh"
521,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CHĂN NUÔI GIA CÔNG,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CHĂN NUÔI GIA CÔNG.,2300294308,"Địa chỉ: Cụm công nghiệp xã Lạc Vệ, Xã Lạc Vệ, Huyện Tiên Du, Bắc Ninh"
522,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CHĂN NUÔI LỢN DABACO,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CHĂN NUÔI LỢN DABACO,2300344326,"Địa chỉ: Cụm công nghiệp, Xã Lạc Vệ, Huyện Tiên Du, Bắc Ninh"
523,XIBANTRONICS TRADING COMPANY LTD.,Không có kết quả,,
524,FUNDACIÓN PARA LA EDUCACIÓN Y EL DESARROLLO TECNOLÓGICO,Không có kết quả,,
525,"INTELIGENCIA OPERACIONAL PARA LA INGENIERÍA, S.L.",Không có kết quả,,
526,CÔNG TY CỔ PHẦN CAO SU BẢO LÂM,CÔNG TY CỔ PHẦN CAO SU BẢO LÂM,5800556980,"Địa chỉ: Thôn 3, Xã Lộc Bảo, Huyện Bảo Lâm, Lâm Đồng"
527,CÔNG TY CỔ PHẦN CAO SU TÂN BIÊN - KAMPONGTHOM,CÔNG TY CỔ PHẦN CAO SU TÂN BIÊN - KAMPONGTHOM,3900419448,"Địa chỉ: Tổ 8, ấp Thạnh Phú, Xã Tân Hiệp, Huyện Tân Châu, Tây Ninh"
528,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN 350,2,,
529,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN ĐỈNH PHÁT,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN ĐỈNH PHÁT,0314173684,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
530,CÔNG TY CỔ PHẦN NOVA PRINCESS RESIDENCE,2,,
531,CÔNG TY TNHH MERUFA - NOVA,CÔNG TY TNHH MERUFA-NOVA,0313586826,"Địa chỉ: Số 38 Trương Quốc Dung, Phường 08, Quận Phú Nhuận, TP Hồ Chí Minh"
532,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN NOVA PHÚC NGUYÊN,2,,
533,CÔNG TY TNHH DABACO TUYÊN QUANG,CÔNG TY TNHH DABACO TUYÊN QUANG,5000850408,"Địa chỉ: Thôn Định Trung, Xã Phúc ứng, Huyện Sơn Dương, Tuyên Quang"
534,CÔNG TY TNHH LỢN GIỐNG DABACO LƯƠNG TÀI,CÔNG TY TNHH LỢN GIỐNG DABACO LƯƠNG TÀI,2300948906,"Địa chỉ: Thôn Thanh Khê, Xã Lai Hạ, Huyện Lương Tài, Bắc Ninh"
535,CÔNG TY TNHH LỢN GIỐNG DABACO HÀ TĨNH,CÔNG TY TNHH LỢN GIỐNG DABACO HÀ TĨNH,3002039336,"Địa chỉ: Thửa đất số 17, tờ bản đồ số 55, Xã Xuân Viên, Huyện Nghi Xuân, Hà Tĩnh"
536,CÔNG TY TNHH LỢN GIỐNG DABACO HẢI PHÒNG,CÔNG TY TNHH LỢN GIỐNG DABACO HẢI PHÒNG,0201654852,"Địa chỉ: Thôn Trại Viên, Xã Lưu Kiếm, Huyện Thuỷ Nguyên, Hải Phòng"
537,CÔNG TY TNHH LỢN GIỐNG DABACO HÀ NAM,CÔNG TY TNHH LỢN GIỐNG DABACO HÀ NAM,0700757934,"Địa chỉ: Thôn Thượng Vỹ, Xã Nhân Chính, Huyện Lý Nhân, Hà Nam"
538,CÔNG TY TNHH LỢN GIỐNG DABACO PHÚ THỌ,CÔNG TY TNHH LỢN GIỐNG DABACO PHÚ THỌ,2600940520,"Địa chỉ: Khu 1, Xã Tề Lễ, Huyện Tam Nông, Phú Thọ"
539,CÔNG TY TNHH MỘT THÀNH VIÊN GÀ GIỐNG DABACO,CÔNG TY TNHH MỘT THÀNH VIÊN GÀ GIỐNG DABACO,2300560694,"Địa chỉ: Thôn Hộ Vệ, Xã Lạc Vệ, Huyện Tiên Du, Bắc Ninh"
540,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ PVI,Kết quả tìm kiếm trùng nhau : 1,,
541,CÔNG TY TNHH DỊCH VỤ VÀ KINH DOANH VINFAST,CÔNG TY TNHH DỊCH VỤ VÀ KINH DOANH VINFAST,0108465787,"Địa chỉ: Số 7 Đường Bằng Lăng 1, Khu đô thị sinh thái Vinhomes Rivers, Phường Việt Hưng, Quận Long Biên, Hà Nội"
542,MARCHA TECHNOLOGY S.L.,Không có kết quả,,
543,CÔNG TY CỔ PHẦN CAO SU BÀ RỊA - KOMPONG THOM,Không có kết quả,,
544,CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP AN ĐIỀN,Không có kết quả,,
545,CÔNG TY CỔ PHẦN CAO ỐC PHƯƠNG ĐÔNG,2,,
546,CÔNG TY CỔ PHẦN ĐẦU TƯ NGỌC LINH HOA,Không có kết quả,,
547,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN VƯƠNG GIA,Không có kết quả,,
548,CÔNG TY CỔ PHẦN ĐỊA ỐC NHẬT HOA,2,,
549,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI HIỆP QUANG,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI HIỆP QUANG,2300290159,"Địa chỉ: Khu công nghiệp Khắc Niệm, Phường Khắc Niệm, Thành phố Bắc Ninh, Bắc Ninh"
550,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI BẮC NINH,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI BẮC NINH,2300300223,"Địa chỉ: Cụm công nghiệp khắc Niệm, Phường Khắc Niệm, Thành phố Bắc Ninh, Bắc Ninh"
551,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM DABACO,Không có kết quả,,
552,CÔNG TY TNHH NÔNG NGHIỆP CÔNG NGHỆ CAO DABACO,CÔNG TY TNHH NÔNG NGHIỆP CÔNG NGHỆ CAO DABACO,2300670947,"Địa chỉ: Thôn Hộ Vệ, Xã Lạc Vệ, Huyện Tiên Du, Bắc Ninh"
553,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ PHÁT TRIỂN HẠ TẦNG DABACO,Không có kết quả,,
554,CÔNG TY CỔ PHẦN THỂ THAO CAO SU PHÚ RIỀNG,CÔNG TY CỔ PHẦN THỂ THAO CAO SU PHÚ RIỀNG - BÌNH PHƯỚC,3800406413,"Địa chỉ: Xã Phú Riềng, Xã Phú Riềng, Huyện Phú Riềng, Bình Phước"
555,CÔNG TY CỔ PHẦN CƠ KHÍ CAO SU,5,,
556,CÔNG TY CỔ PHẦN THE PRINCE RESIDENCE,2,,
557,CÔNG TY TNHH NOVA RIVERGATE,2,,
558,CÔNG TY CỔ PHẦN ĐỊA ỐC THÀNH NHƠN,2,,
559,CÔNG TY CỔ PHẦN SÀI GÒN GÔN,CÔNG TY CỔ PHẦN SÀI GÒN GÔN ( NTNN),0313595757,"Địa chỉ: 41 Nguyễn Văn Bá, Phường Bình Thọ, Quận Thủ Đức, TP Hồ Chí Minh"
560,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN CQ89,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN CQ89,0313389465,"Địa chỉ: Khu I,Tầng 2,2.01 Prince Residence,17-19-21 Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, TP Hồ Chí Minh"
561,CÔNG TY CỔ PHẦN VRG - ĐAK NÔNG,CÔNG TY CỔ PHẦN VRG- ĐẮK NÔNG,6400028240,"Địa chỉ: Tổ 5, đường Tôn Đức Thắng, Phường Nghĩa Thành, Thị xã Gia Nghĩa, Đắk Nông"
562,CÔNG TY CỔ PHẦN CAO SU VIỆT LÀO,CÔNG TY CỔ PHẦN CAO SU VIỆT LÀO,0303612851,"Địa chỉ: 236 Nam Kỳ Khởi Nghĩa, Phường 06, Quận 3, TP Hồ Chí Minh"
563,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN QUỐC TẾ THẾ KỶ 21,Không có kết quả,,
564,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN SUN CITY,2,,
565,CÔNG TY CỔ PHẦN NGÔI NHÀ MEGA,CÔNG TY CỔ PHẦN NGÔI NHÀ MEGA,0312464920,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
566,CÔNG TY TNHH MEGA TIE,CÔNG TY TNHH MEGA TIE,0313377082,"Địa chỉ: Số 2.01, Tầng 2, Khu Thương mại - Dịch vụ, Dự án Khu Thương, Phường 09, Quận Phú Nhuận, TP Hồ Chí Minh"
567,CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ Ở VÀ HẠ TẦNG SÀI GÒN,CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ Ở VÀ HẠ TẦNG SÀI GÒN,0312458589,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
568,CÔNG TY CỔ PHẦN CAO SU ĐỒNG NAI - KRATIE,CÔNG TY CỔ PHẦN CAO SU ĐỒNG NAI - KRATIE,3601014972,"Địa chỉ: 13, ấp Trung Tâm, đường số 3, Xã Xuân Lập, Thị xã Long khánh, Đồng Nai"
569,CÔNG TY CỔ PHẦN CAO SU DẦU TIẾNG LÀO CAI,CÔNG TY CỔ PHẦN CAO SU DẦU TIẾNG LÀO CAI,5300463079,"Địa chỉ: Số nhà 186, đường Hoàng Liên, Phường Cốc Lếu, Thành phố Lào Cai, Lào Cai"
570,CÔNG TY TNHH BẤT ĐỘNG SẢN PHÚC BÌNH,2,,
571,CÔNG TY CỔ PHẦN NOVA FESTIVAL,2,,
572,CÔNG TY TNHH NOVA NAM Á,2,,
573,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC NO VA,2,,
574,CÔNG TY CỔ PHẦN THỰC PHẨM PAN (PAN FOOD),Không có kết quả,,
575,CÔNG TY CỔ PHẦN PHÂN PHỐI HÀNG TIÊU DÙNG PAN (PAN CG),Không có kết quả,,
576,CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM PAN (PFM),Không có kết quả,,
577,CÔNG TY CỔ PHẦN BIBICA,CÔNG TY CỔ PHẦN BIBICA,3600363970,"Địa chỉ: 443 Lý Thường Kiệt, Phường 8, Quận Tân Bình, TP Hồ Chí Minh"
578,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG CAO SU PHÚ THỊNH,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG CAO SU PHÚ THỊNH,3800353962,"Địa chỉ: Thôn Phú Nguyên, Xã Phú Riềng, Huyện Phú Riềng, Bình Phước"
579,CÔNG TY CỔ PHẦN GỖ MDF VRG QUẢNG TRỊ,2,,
580,CÔNG TY TNHH NOVA SAGEL,2,,
581,CÔNG TY CỔ PHẦN CẢNG PHÚ ĐỊNH,CÔNG TY CỔ PHẦN CẢNG PHÚ ĐỊNH,0304414108,"Địa chỉ: 14 Đường số 1 Hồ Học Lãm, Phường 16, Quận 8, TP Hồ Chí Minh"
582,CÔNG TY CỔ PHẦN KHÁCH SẠN DU LỊCH THANH NIÊN VŨNG TÀU,2,,
583,CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐÔ THỊ KỶ NGUYÊN,CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐÔ THỊ KỶ NGUYÊN,0312045341,"Địa chỉ: 315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, TP Hồ Chí Minh"
584,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN ĐỊA ỐC GIA HUY,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN ĐỊA ỐC GIA HUY,0312868592,"Địa chỉ: Số 1.07, Tầng 1, Khu Thương mại - Dịch vụ, Dự án khu phức hợ, Phường 08, Quận Phú Nhuận, TP Hồ Chí Minh"
585,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN PHONG ĐIỀN,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN PHONG ĐIỀN,0313557624,"Địa chỉ: Số 2.01, Tầng 2, Khu Thương mại - Dịch vụ, Dự án Thương mại, Phường 09, Quận Phú Nhuận, TP Hồ Chí Minh"
586,CÔNG TY CỔ PHẦN PAN FARM,Kết quả tìm kiếm trùng nhau : 1,,
587,CÔNG TY CỔ PHẦN CHẾ BIẾN HÀNG XUẤT KHẨU LONG AN,CÔNG TY CỔ PHẦN CHẾ BIẾN HÀNG XUẤT KHẨU LONG AN,1100107301,"Địa chỉ: Số 81 B, Quốc lộ 62, Phường 2, Thành phố Tân An, Long An"
588,CÔNG TY CỔ PHẦN CÀ PHÊ GOLDEN BEANS (GOLDENS BEAN),Không có kết quả,,
589,CÔNG TY CỔ PHẦN THỦY SẢN 584 NHA TRANG,CÔNG TY CỔ PHẦN THỦY SẢN 584 NHA TRANG,4200636551,"Địa chỉ: 584 Lê Hồng Phong, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa"
590,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THỦY SẢN BẾN TRE,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THỦY SẢN BẾN TRE,1300376365,"Địa chỉ: ấp 9, Xã Tân Thạch, Huyện Châu Thành, Bến Tre"
591,CÔNG TY CỔ PHẦN PAN-HULIC (PAN-HULIC),Không có kết quả,,
592,CÔNG TY CỔ PHẦN THỰC PHẨM SAO TA ,CÔNG TY CỔ PHẦN THỰC PHẨM SAO TA,2200208753,"Địa chỉ: Km 2132 Quốc lộ 1A, Phường 2, Thành phố Sóc Trăng, Sóc Trăng"
593,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,0101449271,"Địa chỉ: Số 1, phố Lương Đình Của, Phường Phương Mai, Quận Đống đa, Hà Nội"
594,CÔNG TY CỔ PHẦN CÔNG NGHIỆP VÀ XUẤT NHẬP KHẨU CAO SU,CÔNG TY CỔ PHẦN CÔNG NGHIỆP VÀ XUẤT NHẬP KHẨU CAO SU,0300694937,"Địa chỉ: 64 Trương Định, Phường 07, Quận 3, TP Hồ Chí Minh"
595,CÔNG TY CỔ PHẦN VRG BẢO LỘC,Không có kết quả,,
596,CÔNG TY CỔ PHẦN THỦY ĐIỆN VRG NGỌC LINH,CÔNG TY CỔ PHẦN THUỶ ĐIỆN VRG NGỌC LINH,6100246537,"Địa chỉ: Thị trấn ĐăkGLei, Huyện Đắk Glei, Kon Tum"
597,CÔNG TY CỔ PHẦN NHỰA AN PHÁT XANH,Không có kết quả,,
598,CÔNG TY CỔ PHẦN NHỰA HÀ NỘI,2,,
599,CÔNG TY CỔ PHẦN AN TIẾN INDUSTRIES,CÔNG TY CỔ PHẦN AN TIẾN INDUSTRIES,5200466372,"Địa chỉ: Khu công nghiệp phía Nam, Xã Văn Tiến, Thành phố Yên Bái, Yên Bái"
600,CÔNG TY CỔ PHẦN THỦY ĐIỆN GERUCO SÔNG CÔN,Không có kết quả,,
601,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 4,2,,
602,CÔNG TY TNHH MỘT THÀNH VIÊN GIÁO DỤC LÝ THÁI TỔ,Không có kết quả,,
603,CÔNG TY TNHH BOHEMIA,2,,
604,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VINACONEX,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VINACONEX,0102343581,"Địa chỉ: Tầng 12 Tòa nhà Vinaconex, Số 34 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội"
605,CÔNG TY CỔ PHẦN BÁCH THIÊN LỘC,2,,
606,CÔNG TY CỔ PHẦN VINACONEX DUNG QUẤT,CÔNG TY CỔ PHẦN VINACONEX DUNG QUẤT,4300486846,"Địa chỉ: Thôn Tân An, Xã Bình Trị, Huyện Bình Sơn, Quảng Ngãi"
607,CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP LONG KHÁNH,CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP LONG KHÁNH,3600881612,"Địa chỉ: Khu công nghiệp Long Khánh, Xã Bình Lộc, Thị xã Long khánh, Đồng Nai"
608,CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP DẦU GIÂY,CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP DẦU GIÂY,3600854383,"Địa chỉ: Km 2, Tỉnh lộ 769, Xã Bàu Hàm 2, Huyện Thống Nhất, Đồng Nai"
609,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1,Kết quả tìm kiếm trùng nhau : 1,,
610,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 17,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 17 VINACONEX,4200546315,"Địa chỉ: 184 Lê Hồng Phong, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa"
611,CÔNG TY CỔ PHẦN VINACONEX SÀI GÒN,CÔNG TY CỔ PHẦN VINACONEX SÀI GÒN,0303156197,"Địa chỉ: 47 Điện Biên Phủ, Phường Đa Kao, Quận 1, TP Hồ Chí Minh"
612,CÔNG TY CỔ PHẦN XÂY DỰNG VINACONEX ĐÀ NẴNG,Không có kết quả,,
613,CÔNG TY CỔ PHẦN VINACONEX 25,CÔNG TY CỔ PHẦN VINACONEX 25,4000378261,"Địa chỉ: 89A Phan Đăng Lưu, Phường Hoà Cường Nam, Quận Hải Châu, Đà Nẵng"
614,CÔNG TY CỔ PHẦN VINACONEX 27,Không có kết quả,,
615,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ XUẤT NHẬP KHẨU QUYẾT THẮNG,Không có kết quả,,
616,CÔNG TY CỔ PHẦN PHÂN VI SINH QUẢNG TRỊ,CÔNG TY CỔ PHẦN PHÂN VI SINH QUẢNG TRỊ,3200294306,"Địa chỉ: Khu Công nghiệp Quán Ngang, Xã Gio Quang, Huyện Gio Linh, Quảng Trị"
617,CÔNG TY CỔ PHẦN CAO SU PHÚ RIỀNG - KRATIE,CÔNG TY CỔ PHẦN CAO SU PHÚ RIỀNG - KRATIE,3800372813,"Địa chỉ: Thôn Phú Nguyên, Xã Phú Riềng, Huyện Phú Riềng, Bình Phước"
618,CÔNG TY CỔ PHẦN PHÁT TRIỂN THƯƠNG MẠI VINACONEX,CÔNG TY CỔ PHẦN PHÁT TRIỂN THƯƠNG MẠI VINACONEX,0102747619,"Địa chỉ: Số 459C Bạch Mai, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
619,CÔNG TY CỔ PHẦN XÂY DỰNG VINACONEX SỐ 16,Không có kết quả,,
620,CÔNG TY CỔ PHẦN VIMECO,Kết quả tìm kiếm trùng nhau : 1,,
621,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN DU LỊCH VINACONEX,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN DU LỊCH VINACONEX,0102675516,"Địa chỉ: Tầng 1, Tòa nhà 17T5, khu đô thị Trung Hòa- Nhân Chính, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"
622,CÔNG TY CỔ PHẦN VINACONSULT,Không có kết quả,,
623,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ KINH DOANH NƯỚC SẠCH VIWACO,Không có kết quả,,
624,CÔNG TY CỔ PHẦN SIÊU THỊ VÀ XUẤT NHẬP KHẨU THƯƠNG MẠI VIỆT NAM,Không có kết quả,,
625,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN ĐIỆN MIỀN BẮC 2,Không có kết quả,,
626,CÔNG TY TNHH VINCOM RETAIL MIỀN BẮC,Kết quả tìm kiếm trùng nhau : 1,,
627,CÔNG TY TNHH VINCOM RETAIL MIỀN NAM,2,,
628,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN ĐÔ THỊ SUỐI HOA,2,,
629,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KIDO,Không có kết quả,,
630,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM KIDO,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM KIDO,0106681285,"Địa chỉ: Tầng 10, Tòa nhà Vinaconex, số 34 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội"
