Tên chi nhánh,Mã số thuế,Tên CEO,Địa chỉ chi nhánh,Tên HO,Tỉnh,business
CHI NHÁNH TỔNG CÔNG TY MAY 10 - CÔNG TY CỔ PHẦN- TRUNG TÂM SẢN XUẤT THƯƠNG MẠI VẠN THÀNH,0100101308-036,NGUYỄN THỊ BÍCH THỦY,"Lô đất diện tích 11.715,2m2, km 150 đường Lê Đức Thọ, xóm 8, Xã Nghĩa An, Huyện Nam Trực, Tỉnh Nam Định, Việt Nam",TỔNG CÔNG TY MAY 10 - CTCP,Nam Định,
CHI NHÁNH TẠI HẢI PHÒNG,0100101308-037,Thân Đức Việt,106 Lương khánh Thiện - P. Lương Khánh Thiện - Quận Ngô Quyền - Hải Phòng.,TỔNG CÔNG TY MAY 10 - CTCP,Hải Phòng,
ĐỊA ĐIỂM KINH DOANH SỐ 1 CHI NHÁNH TỔNG CÔNG TY MAY 10 - CÔNG TY CỔ PHẦN TẠI HẢI PHÒNG,0100101308-038,Thân Đức Việt,Số 95 Bạch Đằng - Phường Hạ Lý - Quận Hồng Bàng - Hải Phòng.,TỔNG CÔNG TY MAY 10 - CTCP,Hải Phòng,
ĐỊA ĐIỂM KINH DOANH SỐ 2 CHI NHÁNH TỔNG CÔNG TY MAY 10 - CÔNG TY CỔ PHẦN TẠI HẢI PHÒNG,0100101308-039,Thân Đức Việt,Số 5/106 Lương Khánh Thiện - P. Lương Khánh Thiện - Quận Ngô Quyền - Hải Phòng.,TỔNG CÔNG TY MAY 10 - CTCP,Hải Phòng,
CHI NHÁNH TỔNG CÔNG TY MAY 10 - CÔNG TY CỔ PHẦN - XÍ NGHIỆP MAY 10 THÁI NGUYÊN,0100101308-040,NGUYỄN ÁNH DƯƠNG,"Tổ 8, Phường Cam Giá, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",TỔNG CÔNG TY MAY 10 - CTCP,Thái Nguyên,
CHI NHÁNH TỔNG CÔNG TY MAY 10 - CÔNG TY CỔ PHẦN – XÍ NGHIỆP MAY 10 HÀ TĨNH,0100101308-041,ĐẶNG VIẾT THỰC,"Khu Công Nghiệp Vũng Áng 1, Phường Kỳ Thịnh, Thị xã Kỳ Anh, Tỉnh Hà Tĩnh, Việt Nam",TỔNG CÔNG TY MAY 10 - CTCP,Hà Tĩnh,
CN CÔNG TY CP CHẾ TẠO THIẾT BỊ ĐIỆN- TRUNG TÂM THIẾT BỊ LƯỚI ĐIỆN PHÂN PHỐI,0100101322-005,Nguyễn Ngọc Quế,"36 Bích Câu, p. Quốc Tử Giám - - Quận Đống đa - Hà Nội.",TỔNG CÔNG TY THIẾT BỊ ĐIỆN ĐÔNG ANH - CTCP,Hà Nội,Bán buôn chuyên doanh khác
CHI NHÁNH TỔNG CÔNG TY THƯƠNG MẠI HÀ NỘI,0100101273-004,PHẠM ÁNH SÁNG,"191 Phạm Hồng Thái, Phường 7, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",TỔNG CÔNG TY THƯƠNG MẠI HÀ NỘI - CTCP,Bà Rịa - Vũng Tàu,Bán buôn chuyên doanh khác
XÍ NGHIỆP DỊCH VỤ SINH THÁI,0100101273-013,Lê Văn Hàm,"Khu công nghiệp thực phẩm Hapro, Xóm 9 xã Lệ Chi - - Huyện Gia Lâm - Hà Nội.",TỔNG CÔNG TY THƯƠNG MẠI HÀ NỘI - CTCP,Hà Nội,
XÍ NGHIỆP XE BUÝT HÀ NỘI,0101148154-002,Phạm Sĩ Đại,32 NGuyễn công trứ - - Quận Hai Bà Trưng - Hà Nội.,TỔNG CÔNG TY VẬN TẢI HÀ NỘI,Hà Nội,"Vận tải đường sắt, đường bộ và vận tải đường ống"
XÍ NGHIỆP VẬN TẢI DU LỊCH HÀ NỘI - CHI NHÁNH TỔNG CÔNG TY VẬN TẢI HÀ NỘI,0101148154-005,NGUYỄN PHI THẾ,"Số 122 Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",TỔNG CÔNG TY VẬN TẢI HÀ NỘI,Hà Nội,"Vận tải đường sắt, đường bộ và vận tải đường ống"
CHI NHÁNH TCT VẬT TƯ NÔNG NGHIỆP,0100104468-001,Vũ Duy Hải,28 Mạc Đỉnh Chi P.Đakao - - Quận 1 - TP Hồ Chí Minh.,TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,TP Hồ Chí Minh,Bán buôn chuyên doanh khác
CÔNG TY VẬT TƯ VÀ XÂY DỰNG,0100104468-003,Đỗ Mạnh Hoàng,"16 Ngô Tất Tố, phường Văn Miếu - - Quận Đống đa - Hà Nội.",TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,Hà Nội,Xây dựng công trình kỹ thuật dân dụng
CÔNG TY ĐẦU TƯ XÂY DỰNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN,0100104468-004,Phạm Quang Tý,Số 16 phố Ngô Tất Tố - - Quận Đống đa - Hà Nội.,TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,Hà Nội,Xây dựng công trình kỹ thuật dân dụng
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ THƯƠNG MẠI VÀ PHÁT TRIỂN NGUỒN NHÂN LỰC VIGECAM,0100104468-007,LÊ MINH THẮNG,"16 Ngô Tất Tố, Phường Văn Miếu, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,Hà Nội,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
CHI NHÁNH TỔNG CÔNG TY XÂY DỰNG HÀ NỘI - CTCP,0100106338-001,NGUYỄN VĂN ÚT,"201 Đường Võ Thị Sáu, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,TP Hồ Chí Minh,Xây dựng nhà các loại
CN KHU VỰC PHÍA BẮC CỦA TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,0100106338-003,Đặng Việt Thanh,"P101,nhà B3,Làng Quốc tế Thăng Long,p.Dịch Vọng - - Quận Cầu Giấy - Hà Nội.",TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,Hà Nội,Xây dựng công trình kỹ thuật dân dụng
TRUNG TÂM XUẤT KHẨU LAO ĐỘNG - CHI NHÁNH TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,0100106338-004,Phạm Văn Động,"P206 B3A làng quốc tế Thăng Long, P. Dịch Vọng - - Quận Cầu Giấy - Hà Nội.",TỔNG CÔNG TY XÂY DỰNG HÀ NỘI,Hà Nội,Hoạt động xây dựng chuyên dụng
XÍ NGHIỆP GỐM SỨ MỸ NGHỆ XUẤT KHẨU VÀ TRANG TRÍ NỘI THẤT,0100203476-016,Phạm trinh kiên,Số 71 Đường bạch đằng - - Quận Hai Bà Trưng - Hà Nội.,TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Hà Nội,Sản xuất sản phẩm từ khoáng phi kim loại khác
TRUNG TÂM XUẤT NHẬP KHẨU DỊCH VỤ TỔNG HỢP,0100203476-017,Phạm trinh cát,201 Minh khai - - Quận Hai Bà Trưng - Hà Nội.,TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Hà Nội,"Bán, sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác"
"TRUNG TÂM THƯƠNG MẠI , DU LỊCH VÀ LAO ĐỘNG SAO VÀNG",0100203476-018,Trịnh Vĩnh hội,201 minh khai - - Quận Hai Bà Trưng - Hà Nội.,TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Hà Nội,"Bán, sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác"
MỎ ĐÁ MAI SAO,0100203476-024,LÊ HỮU HÀ,"Xã Mai Sao, Huyện Chi Lăng, Tỉnh Lạng Sơn, Việt Nam",TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Lạng Sơn,"Khai thác đá, cát, sỏi, đất sét"
CHI NHÁNH TỔNG CÔNG TY THƯƠNG MẠI VÀ XÂY DỰNG HÀ TÂY,0100203476-026,Phạm Ngọc Lân,"Số 168, đường Chiến thắng - - Quận Hà Đông - Hà Nội.",TỔNG CTCP THƯƠNG MẠI XÂY DỰNG,Hà Nội,Xây dựng công trình kỹ thuật dân dụng
CÔNG TY TƯ VẤN HÀNG HẢI,0100104595-001,Lê Triệu Thanh,Số 201 Khâm Thiên - - Quận Đống đa - Hà Nội.,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,Hà Nội,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
CẢNG KHUYẾN LƯƠNG,0100104595-008,nguyễn đình thái,tổ 21 phường trần phú - - Quận Hoàng Mai - Hà Nội.,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,Hà Nội,Vận tải ven biển và viễn dương
CÔNG TY KINH DOANH XĂNG DẦU VINALINES PHÍA BẮC - CHI NHÁNH TỔNG CÔNG TY HÀNG HẢI VIỆT NAM-CÔNG TY TNHH MỘT THÀNH VIÊN,0100104595-015,TRẦN THANH HIỀN,"Tòa nhà Ocean Park, Số 1 Đào Duy Anh, Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,Hà Nội,Bán buôn chuyên doanh khác
VĂN PHÒNG ĐẠI DIỆN TẬP ĐOÀN DẦU KHÍ VIỆT NAM TẠI PHÍA NAM,0100681592-001,Trịnh Thanh Bình,46 Trương Định P.07 - Phường 07 - Quận 3 - TP Hồ Chí Minh.,Tập đoàn Dầu khí Việt Nam,TP Hồ Chí Minh,Khai thác dầu thô và khí đốt tự nhiên
BAN QUẢN LÝ DAXD VÀ HOÀN THIỆN CT NHÀ SỐ 1 VÀ SỐ 5 LÊ DUẨN,0100681592-008,Phạm Hồng Lĩnh,1 Lê Duẩn P.BN - - Quận 1 - TP Hồ Chí Minh.,Tập đoàn Dầu khí Việt Nam,TP Hồ Chí Minh,"Hoạt động pháp luật, kế toán và kiểm toán"
CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN DẦU KHÍ ĐÔNG BẮC MA - ĐU - RA 2,0100681592-009,Vũ Tất Thắng,"Phòng 103, số nhà 99, phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Tập đoàn Dầu khí Việt Nam,Hà Nội,Khai thác dầu thô và khí đốt tự nhiên
CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN DẦU KHÍ ĐÔNG BẮC MA - ĐU - RA 1,0100681592-010,Lê Văn Trương,"Phòng 102, số nhà 99, phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Tập đoàn Dầu khí Việt Nam,Hà Nội,Khai thác dầu thô và khí đốt tự nhiên
CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN DẦU KHÍ RAN - ĐU - GUN - TING,0100681592-011,Lê Tuấn Việt,"Phòng 201, số nhà 99 phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Tập đoàn Dầu khí Việt Nam,Hà Nội,Khai thác dầu thô và khí đốt tự nhiên
CÔNG TY KINH DOANH KHÍ HOÁ LỎNG MIỀN BẮC,0100681592-012,Phan Đình Đức,"Lầu 5, lầu 6 toà nhà 59 Quang Trung,p.Nguyễn Du - - Quận Hai Bà Trưng - Hà Nội.",Tập đoàn Dầu khí Việt Nam,Hà Nội,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
CTY KINH DOANH KHÍ HOÁ LỎNG MIỀN NAM,0100681592-013,Đoàn Văn Nhuộm,45-47 Nguyễn Kiệm P.03 - - Quận Gò Vấp - TP Hồ Chí Minh.,Tập đoàn Dầu khí Việt Nam,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên
"TRUNG TÂM CÔNG NGHỆ THÔNG TIN, VIỄN THÔNG VÀ TỰ ĐỘNG HOÁ DẦU KHÍ",0100681592-014,Hoàng Thế Dũng,Số 18 Đường Láng Hạ P.Thành Công - - Quận Ba Đình - Hà Nội.,Tập đoàn Dầu khí Việt Nam,Hà Nội,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
BQL DỰ ÁN CÁC CÔNG TRÌNH XÂY DỰNG PHÍA BẮC,0100681592-018,Lê Chung,04 Tôn Thất Tùng - - Quận Đống đa - Hà Nội.,Tập đoàn Dầu khí Việt Nam,Hà Nội,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
BAN QUẢN LÝ DỰ ÁN TRƯỜNG ĐẠI HỌC DẦU KHÍ VIỆT NAM,0100681592-020,Lê phước Hảo,"Tầng 5, toà nhà Viện dầu khí, số 173 đường Trung Kính - - Quận Cầu Giấy - Hà Nội.",Tập đoàn Dầu khí Việt Nam,Hà Nội,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
CHI NHÁNH TẬP ĐOÀN DẦU KHÍ VIỆT NAM - CÔNG TY NHẬP KHẨU VÀ PHÂN PHỐI THAN DẦU KHÍ,0100681592-027,LÊ MINH TUẤN,"193/6A Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tập đoàn Dầu khí Việt Nam,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên
TRUNG TÂM ỨNG PHÓ SỰ CỐ TRÀN DẦU KHU VỰC MIỀN NAM,0100681592-029,Hồ Vũ Hải,#4 43 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP Hồ Chí Minh.,Tập đoàn Dầu khí Việt Nam,TP Hồ Chí Minh,Hoạt động hành chính và hỗ trợ văn phòng
CHI NHÁNH TẬP ĐOÀN DẦU KHÍ VIỆT NAM - CÔNG TY ĐIỀU HÀNH DẦU KHÍ PHÚ QUỐC,0100681592-033,BÙI VẠN THUẬN,"Tầng 25, tòa nhà Vietcombank, số 5 Công trường Mê Linh, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tập đoàn Dầu khí Việt Nam,TP Hồ Chí Minh,
VIỆN KHOA HỌC KỸ THUẬT BƯU ĐIỆN,0100684378-001,Nguyễn Kim Quang,122 Hoàng Quốc Việt - Phường Nghĩa Tân - Quận Cầu Giấy - Hà Nội.,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Hà Nội,
TRUNG TÂM BỒI DƯỠNG NGHIỆP VỤ III - CHI NHÁNH TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,0100684378-003,NGUYỄN VĂN MINH,"Đường Nguyễn Sinh Sắc, Phường Hoà Minh, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam",TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Đà Nẵng,
TRUNG TÂM ĐIỀU HÀNH THÔNG TIN - VIỄN THÔNG YÊN BÁI,0100684378-005,Nguyễn Tiến Dũng,"Số 15, đường Đinh Tiên Hoàng - Phường Đồng Tâm - Thành phố Yên Bái - Yên Bái.",TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Yên Bái,
TRUNG TÂM VIỄN THÔNG BIÊN HÒA - VIỄN THÔNG ĐỒNG NAI,0100684378-006,Phạm Đức Long,"Số 1, đường 30/4 - Phường Trung Dũng - Thành phố Biên Hoà - Đồng Nai.",TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Đồng Nai,
VIỆN KINH TẾ BƯU ĐIỆN,0100684378-070,Trần Quang Huy,Km 10 đường Nguyễn Trãi - Phường Mộ Lao - Quận Hà Đông - Hà Nội.,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Hà Nội,
TRƯỜNG TRUNG HỌC BƯU CHÍNH VIỄN THÔNG VÀ CÔNG NGHỆ THÔNG TIN I,0100684378-073,Lê Văn Trại,Phường Lê Hồng Phong - Phường Lê Hồng Phong - Thành phố Phủ Lý - Hà Nam.,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Hà Nam,
TRƯỜNG TRUNG HỌC BƯU CHÍNH VIỄN THÔNG VÀ CÔNG NGHỆ THÔNG TIN II,0100684378-074,Trần Ngọc Nguyện,đường Nguyễn Sinh Sắc - Phường Hoà Minh - Quận Liên Chiểu - Đà Nẵng.,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Đà Nẵng,
TRUNG TÂM DỊCH VỤ GTGT (VDC ONLINE) - CN CÔNG TY ĐIỆN TOÁN VÀ TRUYỀN SỐ LIỆU (VDC),0100684378-087,Đinh Đức Thụ,"Tầng 1, nhà Internet, lô 2A làng QT Thăng Long, P. Dịch Vọng - - Quận Cầu Giấy - Hà Nội.",TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Hà Nội,
VNPT - KIỂM THỬ HĐĐT CÓ MÃ,0100684378-999,Huỳnh Quang Liêm,Số 57 phố Huỳnh Thúc Kháng - Phường Cát Linh - Quận Đống đa - Hà Nội.,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Hà Nội,
CHI NHÁNH CÔNG TY CỔ PHẦN ỐNG THÉP THUẬN PHÁT,0800902222-001,ĐỖ MẠNH HÙNG,"Thôn Nhân Vinh, Xã Dị Sử, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam",CÔNG TY CP ỐNG THÉP THUẬN PHÁT,Hưng Yên,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TẬP ĐOÀN AN PHÁT HOLDINGS TẠI HÀ NỘI,0801210129-001,ĐINH XUÂN CƯỜNG,"Tầng 17, Tòa nhà PV Oil, số 148 Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,Hà Nội,
VĂN PHÒNG ĐẠI DIỆN PHÍA NAM - CÔNG TY CỔ PHẦN TẬP ĐOÀN AN PHÁT HOLDINGS,0801210129-002,PHẠM MAI LOAN,"Tầng 10, Cienco 4 Tower, số 180 Nguyễn Thị Minh Khai, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,TP Hồ Chí Minh,
CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG AMECC - TRUNG TÂM TƯ VẤN THIẾT KẾ AMECC,0200786983-002,LÊ NGỌC TÚ,"Km 35 quốc lộ 10, Xã Quốc Tuấn, Huyện An Lão, Thành phố Hải Phòng, Việt Nam",CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,Hải Phòng,
CHI NHÁNH CÔNG TY CỔ PHẦN LISEMCO 2 – LISEMCO 2-1,0200786983-003,VŨ VĂN HUY,"Phòng 15.05, tòa nhà công ty lắp máy điện nước và xây dựng, số 198 Nguyễn Tuân, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,Hà Nội,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
VĂN PHÒNG ĐẠI DIỆN- CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG AMECC,0200786983-014,NGUYỄN ĐỨC ĐỘ,"Số 60, ngõ 69, phố Bùi Huy Bích, Phường Hoàng Liệt, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,Hà Nội,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CÔNG NGHIỆP NHỰA PHÚ LÂM,0200109445-003,VÕ THỊ BẢO LOAN,"21 Lý Thường Kiệt, Phường 7, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP CÔNG NGHIỆP NHỰA PHÚ LÂM,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI XUẤT NHẬP KHẨU VIỆT PHÁT,0200826844-003,NGUYỄN VĂN BÌNH,"Phòng 121-128 tầng 1 tòa nhà Thành Đạt 1, số 3 Lê Thánh Tông, Phường Máy Tơ, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam",CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI XNK VIỆT PHÁT,Hải Phòng,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN NHẬT TIẾN,0200919993-001,LÊ DUY HẢI,"Khu 5, Phường Quán Toan, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam",CÔNG TY CP NHẬT TIẾN,Hải Phòng,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN SẢN XUẤT VÀ CÔNG NGHỆ NHỰA PHA LÊ,0103018538-003,Trần Hải Yến,"Tầng 2, tòa nhà Rivera Park Hà Nội, số 69 đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY CP SẢN XUẤT VÀ CÔNG NGHỆ NHỰA PHA LÊ,Hà Nội,
CHI NHÁNH CTY CỔ PHẦN SƠN HẢI PHÒNG,0200575580-001,Nguyễn Văn Dũng,149/1H Ung Văn Khiêm P.25 - - Quận Bình Thạnh - TP Hồ Chí Minh.,CÔNG TY CP SƠN HẢI PHÒNG,TP Hồ Chí Minh,Bán lẻ hàng hóa khác trong các cửa hàng chuyên doanh
CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,0200611969-001,Nguyễn Anh Dũng,"La.0306, Tầng 3, Khối A, Toà nhà Lexington Residence, 67 Mai Chí Thọ, Phường An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,TP Hồ Chí Minh,
CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC - VĂN PHÒNG ĐẠI DIỆN HÀ NỘI,0200611969-002,NGUYỄN ANH DŨNG,"Tầng 15, Tòa nhà Diamond Flower, số 01 đường Hoàng Đạo Thúy, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,Hà Nội,
CTY XÂY DỰNG 205,0200157840-001,Nguyễn Văn Chính,31/5 Nguyễn Cảnh Chân - - Quận 1 - TP Hồ Chí Minh.,TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,TP Hồ Chí Minh,Xây dựng công trình kỹ thuật dân dụng
CÔNG TY XÂY DỰNG VÀ ĐẦU TƯ BẠCH ĐẰNG 6,0200157840-007,LÊ HỒNG SƠN,"Số nhà 4, ngõ 583 đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,Hà Nội,Hoạt động xây dựng chuyên dụng
CHI NHÁNH TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG TẠI THÀNH PHỐ HỒ CHÍ MINH,0200157840-016,Nguyễn Anh Tuấn,"Phòng số 3, Lầu 8, Lô A - Cao ốc Screc đường kênh Nhiêu Lộc, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,TP Hồ Chí Minh,Xây dựng công trình kỹ thuật dân dụng
CÔNG TY CỔ PHẦN THÉP VÀ THƯƠNG MẠI HÀ NỘI - CHI NHÁNH HẢI DƯƠNG,5400363141-002,NGUYỄN VIẾT THỌ,"Lô đất HHTM2, cụm công nghiệp Hiệp Sơn, Xã Hiệp Sơn, Thị xã Kinh Môn, Tỉnh Hải Dương, Việt Nam",CÔNG TY CP THÉP VÀ THƯƠNG MẠI HÀ NỘI,Hải Dương,
CÔNG TY CỔ PHẦN THÉP VÀ THƯƠNG MẠI HÀ NỘI - CHI NHÁNH SÀI GÒN,5400363141-004,NGUYỄN ĐÌNH HƯNG,"Số 10/26/13, Đường 7, Tô Ngọc Vân, KDC Vạn Xuân, Phường Tam Bình, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP THÉP VÀ THƯƠNG MẠI HÀ NỘI,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ABC VIỆT NAM TẠI HÀ NỘI,0900254448-001,PHẠM VĂN TIỆP,"Số 16 đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",CÔNG TY CP ABC VIỆT NAM,Hà Nội,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ĐÔNG GIANG TẠI HÀ NỘI,0900220897-001,VŨ HỒNG QUANG,"Số 92, Phố Đức Giang, Phường Đức Giang, Quận Long Biên, Thành phố Hà Nội, Việt Nam",CÔNG TY CP ĐÔNG GIANG,Hà Nội,
CHI NHÁNH CTY CỔ PHẦN THÉP HOÀ PHÁT,0900189284-001,Chu Quân,360 Điện Biên Phủ P.17 - - Quận Bình Thạnh - TP Hồ Chí Minh.,CÔNG TY CP TẬP ĐOÀN HÒA PHÁT,TP Hồ Chí Minh,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu
CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN HÒA PHÁT TẠI HÀ NỘI,0900189284-002,NGUYỄN THỊ THẢO NGUYÊN,"Số 66 Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",CÔNG TY CP TẬP ĐOÀN HÒA PHÁT,Hà Nội,Bán buôn chuyên doanh khác
CÔNG TY CỔ PHẦN THUẬN ĐỨC - CHI NHÁNH THANH HÓA,0900264799-002,BÙI QUANG SỸ,"Lô CN5, Khu B, Khu công nghiệp Bỉm Sơn, Phường Bắc Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hoá, Việt Nam",CÔNG TY CP THUẬN ĐỨC,Thanh Hoá,
VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,0900237146-001,ĐỒNG TUẤN VŨ,"Số 15-17 Hàn Thuyên, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,Hà Nội,
KHO HÀNG,0900234699-001,Nguyễn Nhật Thăng,"Cảng Vật Cách, Km9, quốc lộ 5 - Phường Quán Toan - Quận Hồng Bàng - Hải Phòng.",CÔNG TY TNHH THÉP NHẬT QUANG,Hải Phòng,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THÉP NHẬT QUANG TẠI HÀ NỘI,0900234699-002,TRẦN VĂN BẮC,"B8, ngõ 60 Nguyễn Thị Định, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY TNHH THÉP NHẬT QUANG,Hà Nội,
