,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
161,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT CÔNG THƯƠNG,2800753447,"569 Quang Trung 3, Đông Vệ - - Thành phố Thanh Hoá - Thanh Hoá.",Lê Văn Kỳ,037 952067,2003-08-21,Cục Thuế Tỉnh Thanh Hoá,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/2800753447-truong-cao-dang-kinh-te-ky-thuat-cong-thuong,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
162,TRƯỜNG CAO ĐẲNG NÔNG LÂM THANH HOÁ,2800752997,Dân Quyền - - Huyện Triệu Sơn - Thanh Hoá.,Hoàng Ngọc Cao ( sinh năm 1962 - Thanh Hóa) Ẩn thông tin,037 569159,2003-08-12,Cục Thuế Tỉnh Thanh Hoá,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/2800752997-truong-cao-dang-nong-lam-thanh-hoa,Không chứa thông tin hoá đơn,,,,,,
163,TRƯỜNG CAO ĐẲNG NGHỀ CÔNG NGHIỆP THANH HOÁ,2800752965,Số 64 Đường Đình Hương - Phường Đông Cương - Thành phố Thanh Hoá - Thanh Hoá.,Nguyễn Văn Hùng,037 960 733,2003-08-13,Cục Thuế Tỉnh Thanh Hoá,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đông Cương,Thành phố Thanh Hoá,Thanh Hoá.,THA,MB,https://masothue.com/2800752965-truong-cao-dang-nghe-cong-nghiep-thanh-hoa,Không chứa thông tin hoá đơn,,,,,,
164,TRƯỜNG CAO ĐẲNG NGHỀ NGHI SƠN,2801851768,"Tiểu khu 4, TT Tĩnh Gia - Phường Hải Hòa - Thị xã Nghi Sơn - Thanh Hoá.",Hoàng Anh Tuấn,0373861391,2012-04-26,Chi cục Thuế thị xã Nghi Sơn,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hải Hòa,,,,,https://masothue.com/2801851768-truong-cao-dang-nghe-nghi-son,Không chứa thông tin hoá đơn,,,,,,
165,TRƯỜNG TRUNG CẤP Y - DƯỢC HỢP LỰC,2801178302-003,595 Nguyễn Chí Thanh - Phường Đông Thọ - Thành phố Thanh Hoá - Thanh Hoá.,Nguyễn Văn Đệ,037.3 718 859,2008-11-17,Cục Thuế Tỉnh Thanh Hoá,Công ty cổ phần ngoài NN,Đang hoạt động (được cấp thông báo MST),,,,,Phường Đông Thọ,Thành phố Thanh Hoá,Thanh Hoá.,THA,MB,https://masothue.com/2801178302-003-truong-trung-cap-y-duoc-hop-luc,Không chứa thông tin hoá đơn,,,,,,
166,TRƯỜNG CAO ĐẲNG Y - DƯỢC THĂNG LONG,2801969907,Số 03 Đường Chi Lăng - Phường Quảng Thành - Thành phố Thanh Hoá - Thanh Hoá.,Trương Việt Bình ( sinh năm 1955 - Thanh Hóa) Ẩn thông tin,,2013-10-07,Chi cục Thuế khu vực thành phố Thanh Hóa - Đông Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Quảng Thành,Thành phố Thanh Hoá,Thanh Hoá.,THA,MB,https://masothue.com/2801969907-truong-cao-dang-y-duoc-thang-long,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
167,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ VẠN XUÂN,2900922829,"Số 103 Đại lộ Nguyễn Sinh Cung, - Phường Nghi Hương - Thị xã Cửa Lò - Nghệ An.",Nguyễn Lưu Thuỵ,0383 956596,2008-10-24,Cục Thuế Tỉnh Nghệ An,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Nghi Hương,,,,,https://masothue.com/2900922829-truong-dai-hoc-cong-nghe-van-xuan,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
168,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG NGHIỆP VIỆT NAM - HÀN QUỐC,2900560720,Đường Hồ Tông Thốc xã Nghi Phú - - Thành phố Vinh - Nghệ An.,Hồ Văn Đàm,0383 852193,2003-08-05,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Đường Hồ Tông Thốc xã Nghi Phú,Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2900560720-truong-cao-dang-ky-thuat-cong-nghiep-viet-nam-han-quoc,Không chứa thông tin hoá đơn,,,,,,
169,TRƯỜNG CAO ĐẲNG NGHỀ SỐ 4 - BỘ QUỐC PHÒNG,2901090813,"Xóm 15, đường Hoàng Phan Thái, xã Nghi Phú - - Thành phố Vinh - Nghệ An.",Nguyễn Trường Sơn,0383 517913,2009-06-09,Chi cục Thuế Thành phố Vinh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Xóm 15, đường Hoàng Phan Thái, xã Nghi Phú",Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2901090813-truong-cao-dang-nghe-so-4-bo-quoc-phong,Hoá đơn giấy,https://masothue.com/0101948880-cong-ty-tnhh-mot-thanh-vien-in-va-nghien-cuu-thi-truong-viet-cuong,CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,,,
170,TRƯỜNG CAO ĐẲNG HỮU NGHỊ,2901491893,Xóm 4 - Diễn Thành - Xã Diễn Thành - Huyện Diễn Châu - Nghệ An.,Hoàng Xuân Lâm,0388934242,2012-02-15,Chi cục Thuế khu vực Bắc Nghệ II,,,,,,,Xã Diễn Thành,Huyện Diễn Châu,Nghệ An.,NAN,MT,https://masothue.com/2901491893-truong-cao-dang-huu-nghi,Không chứa thông tin hoá đơn,,,,,,
171,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT SỐ 1 NGHỆ AN,2900833618,"Km số 1, đường Lê Nin, phường Hà Huy Tập - - Thành phố Vinh - Nghệ An.",Nguyễn Cảnh Thịnh,0383 523259,2007-11-02,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Km số 1, đường Lê Nin, phường Hà Huy Tập",Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2900833618-truong-cao-dang-kinh-te-ky-thuat-so-1-nghe-an,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),Doanh nghiệp thuộc diện rủi ro về thuế theo quyết định 72/QĐ-CT của Cục Thuế Tỉnh Nghệ An ngày 15/01/2015.,,
172,TRƯỜNG CAO ĐẲNG SƯ PHẠM NGHỆ AN,2900924424,"Số 389, Lê Viết Thuật, xã Hưng Lộc - - Thành phố Vinh - Nghệ An.",Trần Anh Tư,0383857070,2008-11-14,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,"Số 389, Lê Viết Thuật, xã Hưng Lộc",Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2900924424-truong-cao-dang-su-pham-nghe-an,Hoá đơn giấy,https://masothue.com/2900326784-cong-ty-cp-in-va-phat-hanh-bieu-mau-nghe-an,CÔNG TY CP IN VÀ PHÁT HÀNH BIỂU MẪU NGHỆ AN,2900326784 - CÔNG TY CP IN VÀ PHÁT HÀNH BIỂU MẪU NGHỆ AN,,,
173,TRƯỜNG CAO ĐẲNG VĂN HOÁ NGHỆ THUẬT NGHỆ AN,2901251080,"Số 35, đường Phùng Chí Kiên - - Thành phố Vinh - Nghệ An.",lê vũ anh,0383 520 347,,Cục Thuế Tỉnh Nghệ An,,,,,,,,,,,,https://masothue.com/2901251080-truong-cao-dang-van-hoa-nghe-thuat-nghe-an,Không chứa thông tin hoá đơn,,,,,,
174,TRƯỜNG CAO ĐẲNG DU LỊCH - THƯƠNG MẠI NGHỆ AN,2900840407,"Số 22, Đường Sào Nam - Phường Nghi Thu - Thị xã Cửa Lò - Nghệ An.",Phạm Thế Ninh,0383 849 998,2007-11-30,Chi cục Thuế khu vực Bắc Vinh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Nghi Thu,,,,,https://masothue.com/2900840407-truong-cao-dang-du-lich-thuong-mai-nghe-an,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
175,TRƯỜNG CAO ĐẲNG VIỆT - ĐỨC NGHỆ AN,2900390236,Số 315 - Đường Lê Duẩn - Phường Trung Đô - Thành phố Vinh - Nghệ An.,Bùi Văn Dũng,0383833103 038384408,2000-06-15,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Trung Đô,Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2900390236-truong-cao-dang-viet-duc-nghe-an,Hoá đơn tự in,,,,,,
176,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VINH,2901638786,"Số 26, đường NguyễnThái Học - Phường Đội Cung - Thành phố Vinh - Nghệ An.",Trần Lê Dũng,0383535232,2013-09-19,Cục Thuế Tỉnh Nghệ An,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đội Cung,Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2901638786-truong-dai-hoc-cong-nghiep-vinh,Hoá đơn giấy,https://masothue.com/2900325935-cong-ty-cp-in-nghe-an,CÔNG TY CP IN NGHỆ AN,2900325935 - CÔNG TY CP IN NGHỆ AN,,,
177,TRƯỜNG ĐẠI HỌC KINH TẾ NGHỆ AN,2900907002,"Khối 12, đường Lý Tự Trọng - P Hà Huy Tập - Thành phố Vinh - - Thành phố Vinh - Nghệ An.",Nguyễn Ngọc Hiếu,0383 841882,2008-08-07,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/2900907002-truong-dai-hoc-kinh-te-nghe-an,Hoá đơn tự in,,,,,,
178,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT VINH,2900771591,Phường Hưng Dũng - Phường Hưng Dũng - Thành phố Vinh - Nghệ An.,Phạm Hữu Truyền,0383 842753,2006-12-05,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hưng Dũng,Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2900771591-truong-dai-hoc-su-pham-ky-thuat-vinh,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
179,TRƯỜNG ĐẠI HỌC VINH,2900466502,Số 182 đường Lê Duẩn - - Thành phố Vinh - Nghệ An.,Nguyễn Huy Bằng,0383 551310,,Cục Thuế Tỉnh Nghệ An,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/2900466502-truong-dai-hoc-vinh,Không chứa thông tin hoá đơn,,,,,,
180,TRƯỜNG ĐẠI HỌC Y KHOA VINH,2901116229,"Số 161, đường Nguyễn Phong Sắc, phường Hưng Dũng - - Thành phố Vinh - Nghệ An.",nguyễn cảnh phú,0383 842163,2009-08-03,Cục Thuế Tỉnh Nghệ An,,,,,,,"Số 161, đường Nguyễn Phong Sắc, phường Hưng Dũng",Thành phố Vinh,Nghệ An.,NAN,MT,https://masothue.com/2901116229-truong-dai-hoc-y-khoa-vinh,Không chứa thông tin hoá đơn,,,,,,
181,TRƯỜNG ĐẠI HỌC THÁI BÌNH,1000449333,Xã Tân Bình - - Thành phố Thái Bình - Thái Bình.,Nguyễn Thị Kim Lý ( sinh năm 1970 - Thái Bình) Ẩn thông tin,036 835 680,2008-06-05,Cục Thuế Tỉnh Thái Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Tân Bình,Thành phố Thái Bình,Thái Bình.,TBH,MB,https://masothue.com/1000449333-truong-dai-hoc-thai-binh,Không chứa thông tin hoá đơn,,,,,,
182,TRƯỜNG ĐẠI HỌC Y DƯỢC THÁI BÌNH,1000289249,"Số 373, phố Lý Bôn - Phường Kỳ Bá - Thành phố Thái Bình - Thái Bình.",Hoàng Trọng Năng,036 838 545,2002-07-18,Cục Thuế Tỉnh Thái Bình,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Kỳ Bá,Thành phố Thái Bình,Thái Bình.,TBH,MB,https://masothue.com/1000289249-truong-dai-hoc-y-duoc-thai-binh,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
183,TRƯỜNG TRUNG CẤP KINH TẾ - KỸ THUẬT CÔNG NGHIỆP THÁI BÌNH,1000573933,Số 171 đường Trần Thái Tông - - Thành phố Thái Bình - Thái Bình.,Nguyễn Hữu Minh,,2009-05-16,Cục Thuế Tỉnh Thái Bình,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/1000573933-truong-trung-cap-kinh-te-ky-thuat-cong-nghiep-thai-binh,Không chứa thông tin hoá đơn,,,,,,
184,TRƯỜNG CAO ĐẲNG SƯ PHẠM THÁI BÌNH,1000495717,đường Chu Văn An - - Thành phố Thái Bình - Thái Bình.,Nguyễn Hữu Kha,0363831144,2009-01-14,Cục Thuế Tỉnh Thái Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,,,,,,https://masothue.com/1000495717-truong-cao-dang-su-pham-thai-binh,Không chứa thông tin hoá đơn,,,,,,
185,TRƯỜNG CAO ĐẲNG VHNT THÁI BÌNH,1000396089,"Số 12, phố Hoàng Công Chất, Phường Quang Trung - - Thành phố Thái Bình - Thái Bình.",Bùi Thị Dung,036 849 090,2006-08-22,Cục Thuế Tỉnh Thái Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Số 12, phố Hoàng Công Chất, Phường Quang Trung",Thành phố Thái Bình,Thái Bình.,TBH,MB,https://masothue.com/1000396089-truong-cao-dang-vhnt-thai-binh,Không chứa thông tin hoá đơn,,,,,,
186,TRƯỜNG CAO ĐẲNG Y TẾ THÁI BÌNH,1000359841,Phường Quang Trung - - Thành phố Thái Bình - Thái Bình.,Nguyễn Thị Thu Dung ( sinh năm 1969 - Thái Bình) Ẩn thông tin,036 831 359,2005-09-08,Cục Thuế Tỉnh Thái Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Quang Trung,Thành phố Thái Bình,Thái Bình.,TBH,MB,https://masothue.com/1000359841-truong-cao-dang-y-te-thai-binh,Không chứa thông tin hoá đơn,,,,,,
187,TRƯỜNG CAO ĐẲNG NGHỀ THÁI BÌNH,1000598367,"Ngõ 514, đường Long Hưng - Phường Hoàng Diệu - Thành phố Thái Bình - Thái Bình.",Phạm Hồng Khang,0363 831564,2009-06-04,Cục Thuế Tỉnh Thái Bình,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoàng Diệu,Thành phố Thái Bình,Thái Bình.,TBH,MB,https://masothue.com/1000598367-truong-cao-dang-nghe-thai-binh,Không chứa thông tin hoá đơn,,,,,,
188,TRƯỜNG CAO ĐẲNG SƠN LA,5500169740,Tổ 2 - Phường Chiềng Sinh - Thành phố Sơn La - Sơn La.,Nguyễn Đức Long,,1999-04-14,Cục Thuế Tỉnh Sơn La,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Chiềng Sinh,Thành phố Sơn La,Sơn La.,SLA,MB,https://masothue.com/5500169740-truong-cao-dang-son-la,Không chứa thông tin hoá đơn,,,,,,
189,TRƯỜNG ĐẠI HỌC TÂY BẮC,5500318350,"Tổ 2, phường Quyết tâm - - Thành phố Sơn La - Sơn La.",Đinh Thanh Tâm,022751700,2008-08-01,Cục Thuế Tỉnh Sơn La,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Tổ 2, phường Quyết tâm",Thành phố Sơn La,Sơn La.,SLA,MB,https://masothue.com/5500318350-truong-dai-hoc-tay-bac,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
190,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ VÀ NÔNG LÂM ĐÔNG BẮC,4900269385,Thôn Đồn Vang - Xã Minh Sơn - Huyện Hữu Lũng - Lạng Sơn.,Đào Sỹ Tam,025 829 417,2008-01-24,Chi cục Thuế khu vực I,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Minh Sơn,Huyện Hữu Lũng,Lạng Sơn.,LSN,MB,https://masothue.com/4900269385-truong-cao-dang-cong-nghe-va-nong-lam-dong-bac,Hoá đơn giấy,https://masothue.com/0101181842-cong-ty-co-phan-in-ha-noi,CÔNG TY CỔ PHẦN IN HÀ NỘI,0101181842 - CÔNG TY CỔ PHẦN IN HÀ NỘI,,,
191,TRƯỜNG CAO ĐẲNG SƯ PHẠM,4900227787,Phường Chi lăng - - Thành phố Lạng Sơn - Lạng Sơn.,Phùng Quý Sơn,811 017,2004-07-15,Cục Thuế Tỉnh Lạng Sơn,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Chi lăng,Thành phố Lạng Sơn,Lạng Sơn.,LSN,MB,https://masothue.com/4900227787-truong-cao-dang-su-pham,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
192,TRƯỜNG CAO ĐẲNG SƯ PHẠM,5400211942,"Đường Võ Thị Sáu, phường Chăm Mát - Phường Dân Chủ - Thành phố Hoà Bình - Hòa Bình.",Lê Quốc Thái,858245,2002-11-12,Cục Thuế Tỉnh Hoà Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,"Đường Võ Thị Sáu, phường Chăm Mát",Thành phố Hoà Bình,Hòa Bình.,HBH,MB,https://masothue.com/5400211942-truong-cao-dang-su-pham,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
193,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG NGHỆ HÒA BÌNH,5400228181,Tổ 1 - Phường Dân Chủ - Thành phố Hoà Bình - Hòa Bình.,Lê Thanh Hải,018851424,2004-05-21,Cục Thuế Tỉnh Hoà Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Dân Chủ,Thành phố Hoà Bình,Hòa Bình.,HBH,MB,https://masothue.com/5400228181-truong-cao-dang-ky-thuat-cong-nghe-hoa-binh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
194,TRƯỜNG CAO ĐẲNG NGHỀ SÔNG ĐÀ,5400326950,- Phường Thịnh Lang - Thành phố Hoà Bình - Hòa Bình.,Vũ Đình Quỳ,02183854753,2009-09-01,Cục Thuế Tỉnh Hoà Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,Phường Thịnh Lang,Thành phố Hoà Bình,Hòa Bình.,HBH,MB,https://masothue.com/5400326950-truong-cao-dang-nghe-song-da,Không chứa thông tin hoá đơn,,,,,,
195,TRƯỜNG CAO ĐẲNG CƠ ĐIỆN TÂY BẮC,5400232910,Thị trấn Chi Nê. - - Huyện Lạc Thuỷ - Hòa Bình.,Trịnh Quốc Tấn,018874409,2005-03-07,Cục Thuế Tỉnh Hoà Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Chi Nê.,Huyện Lạc Thuỷ,Hòa Bình.,HBH,MB,https://masothue.com/5400232910-truong-cao-dang-co-dien-tay-bac,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
196,TRƯỜNG ĐẠI HỌC QUẢNG BÌNH,3100195252,312 Lý Thường Kiệt - - Thành phố Đồng Hới - Quảng Bình.,Hoàng Dương Hùng,3822010,1998-10-31,Cục Thuế Tỉnh Quảng Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/3100195252-truong-dai-hoc-quang-binh,Hoá đơn giấy,https://masothue.com/3100133048-cong-ty-co-phan-in-quang-binh,CÔNG TY CỔ PHẦN IN QUẢNG BÌNH,3100133048 - CÔNG TY CỔ PHẦN IN QUẢNG BÌNH,,,
197,TRƯỜNG CAO ĐẲNG LUẬT MIỀN TRUNG,3100945378,Tổ dân phố 6 - Phường Bắc Lý - Thành phố Đồng Hới - Quảng Bình.,Võ Khắc Hoan,,2012-10-15,Cục Thuế Tỉnh Quảng Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Bắc Lý,Thành phố Đồng Hới,Quảng Bình.,QBH,MT,https://masothue.com/3100945378-truong-cao-dang-luat-mien-trung,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
198,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG - NÔNG NGHIỆP QUẢNG BÌNH,3100195245,01 Trần Nhật Duật - Xã Đức Ninh - Thành phố Đồng Hới - Quảng Bình.,Đào Hoài Linh,Bị ẩn theo yêu cầu người dùng,1998-10-31,Cục Thuế Tỉnh Quảng Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Đức Ninh,Thành phố Đồng Hới,Quảng Bình.,QBH,MT,https://masothue.com/3100195245-truong-cao-dang-ky-thuat-cong-nong-nghiep-quang-binh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
199,TRƯỜNG CAO ĐẲNG Y TẾ QUẢNG BÌNH,3100195319,Nam lý - - Thành phố Đồng Hới - Quảng Bình.,Lê Viết Hùng,02323822691,1998-10-31,Cục Thuế Tỉnh Quảng Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/3100195319-truong-cao-dang-y-te-quang-binh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
200,TRƯỜNG CAO ĐẲNG NGHỀ QUẢNG BÌNH,3100297409,TDP 1 Bắc Lý - - Thành phố Đồng Hới - Quảng Bình.,Dương Vũ Nhật Đồng,838203,2003-05-19,Cục Thuế Tỉnh Quảng Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,,,,,,https://masothue.com/3100297409-truong-cao-dang-nghe-quang-binh,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
