Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
63(B2/2021)-132(B1/2021),0100151161,PVI,"Tòa nhà PVI, 168 Trần Thái Tông - Quận Cầu Giấy - TP. Hà Nội",024-37342299,024-37342929,contact@pvi.com.vn,
133(B1/2021),0103414411,Chưa niêm yết,Xã Nghĩa Sơn - Huyện Nghĩa Đàn - TP. Hà Nội,0238-3963090,0238-3963091,,
138(B1/2021),4600100155,Chưa niêm yết,Tổ 21 - Phường Cam Giá - TP. Thái Nguyên - Tỉnh Thái Nguyên,0208-3832236,0208-3832056,info@tisco.com.vn,
68(B2/2021)-139(B1/2021),0302336158,VGP,Số 1 Nguyễn Văn Quỳ - Phường Phú Thuận - Quận 7 - TP. Hồ Chí Minh,028-7731120 / 7731121,028-8733342,vegeportjco@vnn.vn,
67(B2/2021)-137(B1/2021),0100108173,VGC,Tầng 16-17 Tòa nhà Viglacera-Số 1 Đại lộ Thăng Long-Phường Mễ Trì-Quận Nam Từ Liêm-TP. Hà Nội,024-35536660,024-35536671,info@viglacera.com.vn,
64(B2/2021)-134(B1/2021),0300872315,Chưa niêm yết,201 - 203 Cách Mạng Tháng 8 - Phường 04 - Quận 3 - TP. Hồ Chí Minh,028-39296699,028-39296688,namabank@namabank.com.vn,
65(B2/2021)-135(B1/2021),5701942544,Chưa niêm yết,Tầng 1 Tòa nhà Green Bay - Đường Hoàng Quốc Việt - Phường Hùng Thắng - TP. Hạ Long - Tỉnh Quảng Ninh,0203-3847043,0203-3844498,contact@bimland.com,
66(B2/2021)-136(B1/2021),1100549268,Chưa niêm yết,Quốc lộ 1-Ấp Voi Lá-Xã Long Hiệp- Huyện Bến Lức-Tỉnh Long An,0272-3989898,0272-3890900,info@vinaonesteel.com,
140(B1/2021),0301450108,Chưa niêm yết,Tầng 14-15 Tòa nhà Văn phòng Nam Á - Số 201-203 - Cách Mạng Tháng Tám - Quận 3 - TP. Hồ Chí Minh,028-62504888,028-62504999,info@daikin.com.vn,
70(B2/2021)-142(B1/2021),0301049150,Chưa niêm yết,Số 16 đường Lữ Gia - Phường 15 - Quận 11 - TP. Hồ Chí Minh,028-38660221,028-38660220,info@phattien.com,
71(B2/2021)-143(B1/2021),0105402531,Chưa niêm yết,PVI Tower - 01 Phạm Văn Bạch - Quận Cầu Giấy - Hà Nội,024-37335588,024-37336284,baohiempvi@pvi.com.vn,
69(B2/2021)-141(B1/2021),0309966889,MSR,"Phòng 802, Tầng 8, Tòa Nhà Central Plaza, Số 17 Lê Duẩn-Quận 1-TP. Hồ Chí Minh",0243-7182490,0243-7182491,media@mht.masangroup.com,
73(B2/2021)-146(B1/2021),1100598716,Chưa niêm yết,Số 400 Quốc lộ 1A - Khu phố 9 - Thị trấn Bến Lức - Huyện Bến Lức - Tỉnh Long An,072-3632455,072-3655109,tvpco-ltd@hcm.vnn.vn,
72(B2/2021)-145(B1/2021),0301472704,PAN,"Tầng 15, Tòa nhà ICON4, 243A Đê La Thành - Quận Đống Đa - TP. Hà Nội",024-37606190,,info@thepangroup.vn,
144(B1/2021),3600852146,Chưa niêm yết,"KCN Nhơn Trạch 5, Thị trấn Hiệp Phước - Huyện Nhơn Trạch - Tỉnh Đồng Nai.",0251-3569086,0251-3569087,info@texhong.com,
74(B2/2021)-147(B1/2021),0801210129,APH,"Lô CN11+CN12, cụm CN An Đồng - Thị trấn Nam Sách - Huyện Nam Sách - Tỉnh Hải Dương",024-32061199,,anphat@anphatholdings.com,
155(B1/2021),0301446422,HT1,360 Bến Chương Dương-Phường Cầu Kho-Quận 1-TP. Hồ Chí Minh,028-38368363,028-38261278,hatien1@hatien1.com.vn,
76(B2/2021)-150(B1/2021),0100105616,VCG,Tòa nhà Vinaconex - 34 Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-62849234,024-62849208,info@vinaconex.com.vn,
77(B2/2021)-151(B1/2021),0302705302,KDC,138 - 142 Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38270468,028-38270469,info@kdc.vn,
79(B2/2021)-153(B1/2021),0301952517,Chưa niêm yết,47/46 - 48 Lạc Long Quân - Phường 01 - Quận 11 - TP. Hồ Chí Minh,028-39696011,028-39695744,haohung99@gmail.com,
75(B2/2021)-148(B1/2021),0105850244,VRE,"Số 7, Đường Bằng Lăng 1 - KĐT Sinh Thái Vinhomes Riverside - Phường Việt Hưng - Quận Long Biên - TP. Hà Nội",024-39749999,024-39748888,ir@vincom.com.vn,
149(B1/2021),3500790168,Chưa niêm yết,Số 31 Đường 30/4 - Phường 9 - TP. Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu,0254-3838834,0254-3838170,ptscmc@ptsc.com.vn; ptscmc@gmail.com,
78(B2/2021)-152(B1/2021),0102516308,Chưa niêm yết,Tòa nhà MediaMart - 29F Hai Bà Trưng - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội,024-39366366,024-39330766,hotro@mediamart.com.vn,
80(B2/2021)-154(B1/2021),0100514947,Chưa niêm yết,36 Hoàng Cầu - Quận Đống Đa - TP. Hà Nội,024-35141199,024-35143939,info@geleximco.vn,
81(B2/2021)-156(B1/2021),3700148737,Chưa niêm yết,Số 5a - Xa Lộ Xuyên á - Xã An Bình - Huyện Dĩ An - Tỉnh Bình Dương,028-37241241,028-38960223,info@TBSgroup.vn,
160(B1/2021),0101210878,Chưa niêm yết,Lô E1 KCN Thăng Long - Xã Kim Chung - Huyện Đông Anh - TP. Hà Nội,024-38811608,024-38812238,,
159(B1/2021),0303165480,DPM,Lầu 7 - Tòa nhà PVFCCo - Số 43 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38256258,028-38256269,lienhe@pvfcco.com.vn; contact@pvfcco.com.vn,
83(B2/2021)-158(B1/2021),0301412222,Chưa niêm yết,170 Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38244855,028-38244856,info@abbank.vn,
163(B1/2021),0101376672,BHN,183 Hoàng Hoa Thám - Phường Ngọc Hà - Quận Ba Đình - TP. Hà Nội,024-38453843,024-37223784,habeco@habeco.com.vn,
82(B2/2021)-157(B1/2021),0305482862,PSD,"Tòa nhà PetroVietnam, Số 1-5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39115578,028-39115579,info@psd.com.vn,
84(B2/2021)-161(B1/2021),0100520429,Chưa niêm yết,20 Bùi Thị Xuân - Phường Bùi Thị Xuân - Quận Hai Bà Trưng - TP. Hà Nội,024-38263418,024-38263412,admin@mesa.vn,
85(B2/2021)-162(B1/2021),0303527596,Chưa niêm yết,"Tầng 1, Số 53-55 Bà Huyện Thanh Quan - Phường 6 - Quận 3 - TP. Hồ Chí Minh",028-35140349,028-35140348,contact@ricons.vn,
164(B1/2021),0101992921,Chưa niêm yết,"Tầng 23-24, Tòa nhà Charmvit, Số 117 Trần Duy Hưng - Quận Cầu Giấy - TP. Hà Nội",024-38240703,024-62780136,contact@scic.vn,
165(B1/2021),0309103635,Chưa niêm yết,"Tòa nhà Empress, 138-142 Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh",028-38230012 / 19001577,028-38230009,shinhanvietnam@shinhan.com,
166(B1/2021),2001012298,DCM,Lô D - Khu Công nghiệp Phường 1 - Đường Ngô Quyền - Phường 1 - TP. Cà Mau - Tỉnh Cà Mau,0290-3819000,0290-3590501,info@pvcfc.com.vn / contact@pvcfc.com.vn,
86(B2/2021)-167(B1/2021),1600192619,LTG,23 Hà Hoàng Hổ - Phường Mỹ Xuyên - TP. Long Xuyên - Tỉnh An Giang,0296-3841299,0296-3841327,loctroi@loctroi.vn,
168(B1/2021),0302743192,PVT,Tầng 2 Tòa nhà PVFCCo - 43 Mạc Đĩnh Chi - Phường Đakao - Quận 1 - TP. Hồ Chí Minh,028-39111301,028-39111300,info@pvtrans.com,
88(B2/2021)-170(B1/2021),3600283394,TID,96 Hà Huy Giáp - Phường Quyết Thắng - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3822486,0251-3823747,info@tinnghiacorp.com.vn,
171(B1/2021),0304998686,PGD,Tầng 7 - Tòa nhà PV Gas Tower - Số 673 đường Nguyễn Hữu Thọ - Xã Phước Kiến - Huyện Nhà Bè - TP. Hồ Chí Minh,028-37840445,028-37840446,info@pvgasd.com.vn,
87(B2/2021)-169(B1/2021),0800373586,AAA,"Lô CN 11-CN 12, Cụm Công nghiệp An Đồng - Thị trấn Nam Sách - Huyện Nam Sách - Tỉnh Hải Dương",0220-3755997,0220-3755113,anphat@anphatplastic.com,
175(B1/2021),0106181807,Chưa niêm yết,"Tòa nhà VTV, số 8 Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-35720999,,info@ghtk.vn,
173(B1/2021),3600239719,Chưa niêm yết,"Quốc lộ 51, Ấp 1A - Xã Phước Thái - Huyện Long Thành - Tỉnh Đồng Nai",0251-3825111,0251-3825138,vedanservices@vedaninternational.com,
89(B2/2021)-172(B1/2021),1400112623,VHC,Quốc Lộ 30 - Phường 11 - TP. Cao Lãnh - Tỉnh Đồng Tháp,0277-3891166,0277-3891062,info@vinhhoan.com,
178(B1/2021),3700229344,Chưa niêm yết,Khu phố Bình Đức 1 - Phường Bình Hòa - Thị xã Thuận An - Tỉnh Bình Dương,0274-3754422,0274-3754726,contactus@frieslandcampina.com,
91(B2/2021)-177(B1/2021),0301429113,CC1,"Tầng 9, Tòa nhà Sailing Tower, 111A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38222059,028-38290500,info@cc1jsc.com.vn,
90(B2/2021)-176(B1/2021),0300401524,Chưa niêm yết,7 Lê Minh Xuân - Phường 07 - Quận Tân Bình - TP. Hồ Chí Minh,028-38640800,028-38645085,vtec@hcm.vnn.vn,
92(B2/2021)-179(B1/2021),0301437499,Chưa niêm yết,234 Ngô Tất Tố - Phường 22 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-35144348,028-35144353,saigon@himlam.com,
174(B1/2021),0311241512,Chưa niêm yết,Số 30 Đường Bờ Bao Tân Thắng - Phường Sơn Kỳ - Quận Tân Phú - TP. Hồ Chí Minh,028-62887711,028-62692012,contact@aeon.com.vn,
181(B1/2021),4200486169,Chưa niêm yết,118 Hùng Vương - Phường Lộc Thọ - TP. Nha Trang - Tỉnh Khánh Hoà,0258-3525572 / 3522418,0258-3524221,info@khatoco.com,
93(B2/2021)-180(B1/2021),2200108445,Chưa niêm yết,220 Quốc lộ 1A - Phường 7 - TP. Sóc Trăng - Tỉnh Sóc Trăng,0299-3822164 / 3822367,0299-3821801,stapimex@hcm.vnn.vn / stapimex.pmkt@hcm.vnn.vn,
94(B2/2021)-182(B1/2021),0302483177,CII,3A Nguyễn Văn Thủ - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-36221025,028-36367100,info@cii.com.vn,
96(B2/2021)-185(B1/2021),0303283290,Chưa niêm yết,"Số 300, Đường Khuông Việt - Phường Phú Trung - Quận Tân Phú - TP. Hồ Chí Minh",028-38616881 / 38616882,028-38618822,pmvnrice@gmail.com,
183(B1/2021),3700145020,BCM,Số 8 Hùng Vương - Phường Hòa Phú - TP. Thủ Dầu Một - Tỉnh Bình Dương,0274-3822655,0274-3822713,info@becamex.com.vn,
97(B2/2021)-186(B1/2021),4300205943,QNS,02 Nguyễn Chí Thanh - KCN Quảng Phú - Phường Quảng Phú - TP. Quảng Ngãi - Tỉnh Quảng Ngãi,0255-3726110 / 3726111,0255-3822843,info@qns.com.vn,
98(B2/2021)-187(B1/2021),2500267703,VGS,KCN Bình Xuyên - Xã Đạo Đức - Huyện Bình Xuyên - Tỉnh Vĩnh Phúc,0211-3887863,0211-3887912,vgpipe@hn.vnn.vn,
95(B2/2021)-184(B1/2021),0100100745,PC1,"Tòa CT2, Số 583 Đường Nguyễn Trãi - Quận Thanh Xuân - TP. Hà Nội",024-38456329,024-38231997,info@pcc1.vn,
189(B1/2021),0300797153,Chưa niêm yết,14 - 16 Kcx Tân Thuận - Phường Tân Thuận Đông - Quận 7 - TP. Hồ Chí Minh,Đang cập nhật..,đang cập nhật..,favkeiri@furukawaas.co.jp,
188(B1/2021),0100114522,Chưa niêm yết,36 Đại Lộ Hữu Nghị Visip 1 - Xã Bình Hòa - Huyện Thuận An - Tỉnh Bình Dương,0839-979639,0839-979600,,
190(B1/2021),0100106144,Chưa niêm yết,"Tầng 5, 6 Toà Nhà M5 -91 Nguyễn Chí Thanh - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội",024-37738600,024-37738640,hudgroup@hud.com.vn,
195(B1/2021),0100105870,SJG,"Tòa nhà Sông Đà, 493 Nguyễn Trãi - Phường Thanh Xuân Nam - Quận Thanh Xuân - TP. Hà Nội",024-38541164 / 38541160,024-38541161,tctsd@songda.vn,
100(B2/2021)-193(B1/2021),1700169765,NVB,Số 28C-28D Bà Triệu - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội,024-62693355,024-62693535,callcenter@ncb-bank.vn,
192(B1/2021),0104753865,CTR,Số 06 Phạm Văn Bạch - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội,024-62751783,024-62751783,congtrinhviettel@viettel.com.vn,
101(B2/2021)-194(B1/2021),0302963695,VAB,"Tòa nhà Samsora Premier, số 105 Chu Văn An, Phường Yết Kiêu, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",024-39333636,024-39336426,phongqhcc@vietabank.com.vn,
99(B2/2021)-191(B1/2021),0303141296,IDI,"Quốc lộ 80, Cụm CN Vàm Cống - Ấp An Thạnh - Xã Bình Thành - Huyện Lấp Vò - Tỉnh Đồng Tháp",0277-3680383,0277-3680382,idiseafood@vnn.vn,
197(B1/2021),0312545104,Chưa niêm yết,"Số 182 (tầng 8, Tòa nhà Flemington), Đường Lê Đại Hành - Phường 15 - Quận 11 - TP. Hồ Chí Minh",028-39621968,028-39621988,,
102(B2/2021)-196(B1/2021),0303490096,Chưa niêm yết,Z06 Đường số 13 - Phường Tân Thuận Đông - Quận 7 - TP. Hồ Chí Minh,028-39623888,028-39624666,truyenthong@vng.com.vn,
200(B1/2021),0302803331,Chưa niêm yết,"14/F, Tòa nhà Metropolitan, 235 Đồng Khởi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38257100,028-38257101,,
202(B1/2021),0309174756,Chưa niêm yết,"Số 35, Đường số 10 - Phường An Lợi Đông - Quận 2 - TP. Hồ Chí Minh",028-38253124,028-38253021,dongviet@dovinametal.com.vn,
201(B1/2021),0100106313,Chưa niêm yết,124 Minh Khai-Phường Minh Khai-Quận Hai Bà Trưng-TP. Hà Nội,024-38633067,024-38638104,info@lilama.com.vn,
103(B2/2021)-198(B1/2021),2200269805,VBB,47 Trần Hưng Đạo - Phường 3 - TP. Sóc Trăng - Tỉnh Sóc Trăng,0299-3886666,0299-3615666,vietbank@vietbank.com.vn,
203(B1/2021),3600897316,NT2,Trung tâm Điện lực dầu khí - Xã Phước Khánh - Huyện Nhơn Trạch - Tỉnh Đồng Nai,0251-2225899,0251-2225897,info@pvpnt2.com,
104(B2/2021)-199(B1/2021),0105690657,Chưa niêm yết,"Tòa nhà VHC, 399 Phạm Văn Đồng - Phường Xuân Đỉnh - Quận Bắc Từ Liêm - TP. Hà Nội",024-37501188,024-37506099,ban.mkt@hc.com.vn,
205(B1/2021),3700667933,Chưa niêm yết,Lô E-13-CN Đường NA3 - KCN Mỹ Phước 2 - Phường Mỹ Phước - Thị xã Bến Cát - Tỉnh Bình Dương,0274-3553700,0274-3553720,,
204(B1/2021),0301129367,Chưa niêm yết,01 Công Trường Quốc Tế-Phường 06-Quận 3-TP. Hồ Chí Minh,028-38291777,028-38241644,vp-sawaco@vnn.vn,
107(B2/2021)-208(B1/2021),0301466073,Chưa niêm yết,253 Hoàng Văn Thụ - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-39977727,028-39977728,info@ttcgroup.vn,
105(B2/2021)-206(B1/2021),0700576529,Chưa niêm yết,Thôn Bồng Lạng - Xã Thanh Nghị - Huyện Thanh Liêm - Tỉnh Hà Nam,0226-3757666,0226-3757888,,
109(B2/2021)-211(B1/2021),0305268812,Chưa niêm yết,"Lô TT2-1, Đường D4, KCN Đông Nam - Xã Hòa Phú - Huyện Củ Chi - TP. Hồ Chí Minh",028-38479375 / 38479374,028-38479272,info@saigonvrg.com.vn,
106(B2/2021)-207(B1/2021),0300741143,REE,364 Cộng Hòa - Phường 13 - Quận Tân Bình - TP. Hồ Chí Minh,028-38100017 / 38100350,028-38100337,ree@reecorp.com.vn,
108(B2/2021)-209(B1/2021),0307979603,CTF,218 Quốc Lộ 13 - Phường Hiệp Bình Chánh - Quận Thủ Đức - TP. Hồ Chí Minh,028-37262626,028-37263626,info@cityford.com.vn,
210(B1/2021),1700523208,KTC,190 Trần Phú - Phường Vĩnh Thanh Vân - TP. Rạch Giá - Tỉnh Kiên Giang,0297-3860794 / 3862113,0297-3872316 / 3866080,ktc@ktcvn.com.vn,
110(B2/2021)-212(B1/2021),0500469512,VCS,Khu công nghệ cao Hòa Lạc - Xã Thạch Hoà - Huyện Thạch Thất - TP. Hà Nội,024-33685826,024-33686652,info@vicostone.vn,
214(B1/2021),0101463614,PLC,"Tầng 18 & 19, Số 229 phố Tây Sơn - Phường Ngã Tư Sở - Quận Đống Đa - TP. Hà Nội",024-38513205,024-38513207,plc@petrolimex.com.vn,
213(B1/2021),0300481551,Chưa niêm yết,262 Trần Hưng Đạo-Phường Nguyễn Cư Trinh-Quận 1-TP. Hồ Chí Minh,028-39200408,028-39201876,samco@samco.com.vn,
218(B1/2021),0200108811,Chưa niêm yết,Km 9 Vật Cách - Phường Quán Toan - Quận Hồng Bàng - TP. Hải Phòng,02253850145,02253850140,info@vinausteel.com.vn,
113(B2/2021)-217(B1/2021),4100259236,PTB,278 Nguyễn Thị Định - Phường Nguyễn Văn Cừ - TP. Quy Nhơn - Tỉnh Bình Định,0256-3847668,0256-3847556,phutai@phutai.com.vn,
112(B2/2021)-216(B1/2021),0302505776,Chưa niêm yết,145 Tôn Thất Đạm - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-62883535,028-62883536,contact@newviet.vn,
111(B2/2021)-215(B1/2021),0101436307,Chưa niêm yết,Nhà N3 - 33B Phạm Ngũ Lão - Phường Phan Chu Trinh - Quận Hoàn Kiếm - TP. Hà Nội,024-37342501,024-37342520,mipec@mipec.com.vn,
219(B1/2021),4200485207,Chưa niêm yết,Số 7 Võ Thị Sáu - Phường Vĩnh Nguyên - TP. Nha Trang - Tỉnh Khánh Hoà,0258-3731314,0258-3886656,thuongmaiktc@khatoco.com,
116(B2/2021)-222(B1/2021),0304472276,Chưa niêm yết,"Tầng 5-6, Số 236/6 Điện Biên Phủ - Phường 17 - Quận Bình Thạnh - TP. Hồ Chí Minh",028-35143366,028-35143388,contact@unicons.vn,
115(B2/2021)-221(B1/2021),0100776445,SHI,Lô CN1 - Cụm công nghiệp Từ Liêm - Phường Minh Khai - Quận Bắc Từ Liêm - TP. Hà Nội,024-62656566,024-62656588,support@sonha.com.vn,
226(B1/2021),0100109385,DVN,Số 12 Ngô Tất Tố - Phường Văn Miếu - Quận Đống Đa - TP. Hà Nội,024-38843151,024-38443665,vinapharm@vinapharm.com.vn,
224(B1/2021),0302495126,PVD,Lầu 4 Tòa nhà Sailing Tower 111A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-39142012,028-39142021,info@pvdrilling.com.vn,
223(B1/2021),0302975517,Chưa niêm yết,C12/21 Quốc lộ 1A - Xã Tân Kiên - Huyện Bình Chánh - TP. Hồ Chí Minh,028-37561191,028-38770278,phanbon@binhdien.com,
114(B2/2021)-220(B1/2021),0302000126,HAX,333 Điện Biên Phủ - Phường 15 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-35120026,028-35120025,haxaco@haxaco.com.vn,
117(B2/2021)-227(B1/2021),0303498754,TAC,"Lầu 10, Tòa nhà Empress Tower, Số 138-142 Đường Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh",028-38277806,028-38727832,dichvukhachhang@tuongan.com.vn,
225(B1/2021),0300608568,Chưa niêm yết,"Tầng 12, Tòa Nhà E-Town Central, 11 Đường Đoàn Văn Bơ - Phường 12 - Quận 4 - TP. Hồ Chí Minh",028-73017018,028-73036038,connection-vnm@siamcitycement.com,
231(B1/2021),3600335363,SNZ,"Số 1, Đường 1, KCN Biên Hoà 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai",0251-8860561,0251-8860573,contact@sonadezi.com.vn,
118(B2/2021)-229(B1/2021),0101395308,Chưa niêm yết,KĐT thương mại và du lịch Văn Giang - Xã Xuân Quan - Huyện Văn Giang - Tỉnh Hưng Yên,024-38746314/15/17,024-38746316,,
121(B2/2021)-234(B1/2021),0301172041,TNA,"Tòa nhà văn phòng Thiên Nam, Số 111-121 Ngô Gia Tự - Phường 2 - Quận 10 - TP. Hồ Chí Minh",028-38348980,028-38348981,info@thiennamgroup.vn,
228(B1/2021),3700549827,Chưa niêm yết,"Số 42 VSIP, Đại Lộ Tự Do, KCN Việt Nam-Singapore - Phường An Phú - Thị xã Thuận An  - Tỉnh Bình Dương",0274-3767010,0274-3767023,info@urcvn.com,
119(B2/2021)-232(B1/2021),0100244112,CMG,Tòa nhà CMC - Số 11 Phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội,024-37958668,024-37958989,info@cmc.com.vn,
120(B2/2021)-233(B1/2021),0301909173,Chưa niêm yết,52 - 54 - 56 Trường Sơn - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-39486888,028-39486887,info@itlvn.com,
230(B1/2021),0309069208,Chưa niêm yết,Số 26 Đường Trần Cao Vân - Phường 6 - Quận 3 - TP. Hồ Chí Minh,028-38279191 / 38279292,N.A,dichvuthanhvien@herbalife.com,
235(B1/2021),0300105356,Chưa niêm yết,420 Nơ Trang Long - Phường 13 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-35533999 / 35533888,028-35533939,vissanco@vissan.com.vn,
124(B2/2021)-238(B1/2021),0101013887,Chưa niêm yết,Số 32/178 phố Thái Hà - Phường Trung Liệt - Quận Đống Đa - TP. Hà Nội,024-35380217 / 0243 938 898,024-35375554,info@minhtiencoffee.com,
122(B2/2021)-236(B1/2021),0306151768,Chưa niêm yết,298 Hồ Học Lãm - Phường An Lạc - Quận Bình Tân - TP. Hồ Chí Minh,028-38762222 / 38762223,028-38762225,info@duytan.com,
123(B2/2021)-237(B1/2021),0303738780,Chưa niêm yết,69 Nguyễn Thi - Phường 13 - Quận 5 - TP. Hồ Chí Minh,028-39506618,028-39506617,info@kimtingroup.com,
128(B2/2021)-242(B1/2021),5400363141,Chưa niêm yết,Xóm Cố Thổ-Xã Hòa Sơn-Huyện Lương Sơn-Hòa Bình,0983090936,đang cập nhật..,đang cập nhật..,
126(B2/2021)-240(B1/2021),0305097236,PGS,"Lầu 4, Tòa nhà PetroVietnam, số 1-5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39100324 / 39100108,028-39100165,info@pgs.com.vn,
243(B1/2021),0301232798,Chưa niêm yết,"Tòa Nhà Metropolitan, 235 Đồng Khởi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38292288,028-38230530,anhttvo@hsbc.com.vn,
127(B2/2021)-241(B1/2021),0314476689,Chưa niêm yết,204/9 Nguyễn Văn Hưởng - Phường Thảo Điền - Quận 2 - TP. Hồ Chí Minh,028-36205151,028-36205151,contact@centralcons.vn,
245(B1/2021),0305707643,Chưa niêm yết,"Lầu 11, Etown 2, Số 364 Cộng Hòa - Phường 13 - Quận Tân Bình - TP. Hồ Chí Minh",028-38123888,028-38125767,,
129(B2/2021)-244(B1/2021),0100283802,HDG,Số 8 Láng Hạ - Phường Thành Công - Quận Ba Đình - TP. Hà Nội,024-38310347 / 38310348,024-38355526,hq@hado.com.vn,
130(B2/2021)-246(B1/2021),0106025519,Chưa niêm yết,"Số 1 ngách 19, ngõ 85 phố Định Công Thượng - Phường Định Công - Quận Hoàng Mai - TP. Hà Nội",024-37368869,024-37368867,info@nhatthanh.net.vn,
125(B2/2021)-239(B1/2021),0100512717,Chưa niêm yết,"Số 81, phố Lạc Trung - Phường Vĩnh Tuy - Quận Hai Bà Trưng - TP. Hà Nội",024-38217885,024-38760988,info@deltacorp.vn,
250(B1/2021),1100102656,Chưa niêm yết,Số 40 Bà Chánh Thâu - Khu phố 2 - Thị trấn Bến Lức - Huyện Bến Lức - Tỉnh Long An,0272-3779666,0272-3779476,lelong@mail.klb.com.tw,
134(B2/2021)-251(B1/2021),0101526991,RAL,87-89 Hạ Đình - Phường Thanh Xuân Trung - Quận Thanh Xuân - TP. Hà Nội,024-38584310 / 38584165,024-38585038,ralaco@rangdong.com.vn,
131(B2/2021)-247(B1/2021),4300321643,Chưa niêm yết,48 Phạm Xuân Hoà - Phường Trần Hưng Đạo - TP. Quảng Ngãi - Tỉnh Quảng Ngãi,0255-3827308,0255-3822060,apfco@apfco.com.vn,
254(B1/2021),3600236891,Chưa niêm yết,Đường Số 9 - KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3568379,0251-3568479,info@tonphuongnam.com.vn,
133(B2/2021)-249(B1/2021),0100774631,PTI,"Tầng 8, Tòa nhà Harec, Số 4A Láng Hạ - Quận Ba Đình - TP. Hà Nội",024-37724466 / 1900545475,024-37724460,info@pti.com.vn,
253(B1/2021),0100100015,MVB,Số 1 Phan Đình Giót - Phường Phương Liệt - Quận Thanh Xuân - TP. Hà Nội,024-36647515,024-36647493,info@cmv.vn,
132(B2/2021)-248(B1/2021),3700594361,Chưa niêm yết,"Số 7 Đại Lộ Độc Lập, Lô D, KCN Sóng Thần I - Phường Dĩ An - TP. Dĩ An - Tỉnh Bình Dương",028-39972727,,info@ttctrading.vn,
135(B2/2021)-252(B1/2021),0104128565,Chưa niêm yết,Tầng 22 Keangnam Landmark 72 - E6 Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội,024-35626000,024-35624850,contact@fis.com.vn,
256(B1/2021),0300419930,CSM,180 Nguyễn Thị Minh Khai - Phường 6 - Quận 3 - TP. Hồ Chí Minh,028-38362369,028-38362376,casumina@casumina.com.vn,
136(B2/2021)-255(B1/2021),0301932246,Chưa niêm yết,121-123 Bạch Đằng - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-38452303,028-38452397,info@daidung.vn,
139(B2/2021)-260(B1/2021),0301464823,BMP,240 Hậu Giang - Phường 09 - Quận 6 - TP. Hồ Chí Minh,028-39690973,028-39606814,binhminh@binhminhplastic.com.vn,
137(B2/2021)-257(B1/2021),4600201989,Chưa niêm yết,Tổ 9 - Phường Trung Thành - TP. Thái Nguyên - Tỉnh Thái Nguyên,0208-3832469,0208-3832101,trungthanhtn@trungthanhtn.com.vn,
259(B1/2021),0303845969,Chưa niêm yết,"Tầng 21 Tòa nhà Sun Wah, 115 Nguyễn Huệ - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38278989,028-38219000,CM.VNLife@Chubb.com,
138(B2/2021)-258(B1/2021),0304324655,Chưa niêm yết,82-84 Bùi Thị Xuân - Phường Bến Thành - Quận 1 - TP. Hồ Chí Minh,028-39251845,028-39251847,office@trungnguyen.com.vn,
