,Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website,url
94,106(B2/2021)-207(B1/2021),300741143,REE,364 Cộng Hòa - Phường 13 - Quận Tân Bình - TP. Hồ Chí Minh,028-38100017 / 38100350,028-38100337,ree@reecorp.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=REE
95,108(B2/2021)-209(B1/2021),307979603,CTF,218 Quốc Lộ 13 - Phường Hiệp Bình Chánh - Quận Thủ Đức - TP. Hồ Chí Minh,028-37262626,028-37263626,info@cityford.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTF
96,210(B1/2021),1700523208,KTC,190 Trần Phú - Phường Vĩnh Thanh Vân - TP. Rạch Giá - Tỉnh Kiên Giang,0297-3860794 / 3862113,0297-3872316 / 3866080,ktc@ktcvn.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KTC
97,110(B2/2021)-212(B1/2021),500469512,VCS,Khu công nghệ cao Hòa Lạc - Xã Thạch Hoà - Huyện Thạch Thất - TP. Hà Nội,024-33685826,024-33686652,info@vicostone.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VCS
98,214(B1/2021),101463614,PLC,"Tầng 18 & 19, Số 229 phố Tây Sơn - Phường Ngã Tư Sở - Quận Đống Đa - TP. Hà Nội",024-38513205,024-38513207,plc@petrolimex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PLC
99,113(B2/2021)-217(B1/2021),4100259236,PTB,278 Nguyễn Thị Định - Phường Nguyễn Văn Cừ - TP. Quy Nhơn - Tỉnh Bình Định,0256-3847668,0256-3847556,phutai@phutai.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PTB
100,115(B2/2021)-221(B1/2021),100776445,SHI,Lô CN1 - Cụm công nghiệp Từ Liêm - Phường Minh Khai - Quận Bắc Từ Liêm - TP. Hà Nội,024-62656566,024-62656588,support@sonha.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHI
101,226(B1/2021),100109385,DVN,Số 12 Ngô Tất Tố - Phường Văn Miếu - Quận Đống Đa - TP. Hà Nội,024-38843151,024-38443665,vinapharm@vinapharm.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DVN
102,224(B1/2021),302495126,PVD,Lầu 4 Tòa nhà Sailing Tower 111A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-39142012,028-39142021,info@pvdrilling.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVD
103,114(B2/2021)-220(B1/2021),302000126,HAX,333 Điện Biên Phủ - Phường 15 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-35120026,028-35120025,haxaco@haxaco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HAX
104,117(B2/2021)-227(B1/2021),303498754,TAC,"Lầu 10, Tòa nhà Empress Tower, Số 138-142 Đường Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh",028-38277806,028-38727832,dichvukhachhang@tuongan.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TAC
105,231(B1/2021),3600335363,SNZ,"Số 1, Đường 1, KCN Biên Hoà 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai",0251-8860561,0251-8860573,contact@sonadezi.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SNZ
106,121(B2/2021)-234(B1/2021),301172041,TNA,"Tòa nhà văn phòng Thiên Nam, Số 111-121 Ngô Gia Tự - Phường 2 - Quận 10 - TP. Hồ Chí Minh",028-38348980,028-38348981,info@thiennamgroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TNA
107,119(B2/2021)-232(B1/2021),100244112,CMG,Tòa nhà CMC - Số 11 Phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội,024-37958668,024-37958989,info@cmc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CMG
108,126(B2/2021)-240(B1/2021),305097236,PGS,"Lầu 4, Tòa nhà PetroVietnam, số 1-5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39100324 / 39100108,028-39100165,info@pgs.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGS
109,129(B2/2021)-244(B1/2021),100283802,HDG,Số 8 Láng Hạ - Phường Thành Công - Quận Ba Đình - TP. Hà Nội,024-38310347 / 38310348,024-38355526,hq@hado.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HDG
110,134(B2/2021)-251(B1/2021),101526991,RAL,87-89 Hạ Đình - Phường Thanh Xuân Trung - Quận Thanh Xuân - TP. Hà Nội,024-38584310 / 38584165,024-38585038,ralaco@rangdong.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=RAL
111,133(B2/2021)-249(B1/2021),100774631,PTI,"Tầng 8, Tòa nhà Harec, Số 4A Láng Hạ - Quận Ba Đình - TP. Hà Nội",024-37724466 / 1900545475,024-37724460,info@pti.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PTI
112,253(B1/2021),100100015,MVB,Số 1 Phan Đình Giót - Phường Phương Liệt - Quận Thanh Xuân - TP. Hà Nội,024-36647515,024-36647493,info@cmv.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MVB
113,256(B1/2021),300419930,CSM,180 Nguyễn Thị Minh Khai - Phường 6 - Quận 3 - TP. Hồ Chí Minh,028-38362369,028-38362376,casumina@casumina.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CSM
114,139(B2/2021)-260(B1/2021),301464823,BMP,240 Hậu Giang - Phường 09 - Quận 6 - TP. Hồ Chí Minh,028-39690973,028-39606814,binhminh@binhminhplastic.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BMP
115,262(B1/2021),302177966,IDC,Số 151 Ter Nguyễn Đình Chiểu - Phường 6 - Quận 3 - TP. Hồ Chí Minh,028-38438883,028-39312705,idico@hcm.fpt.vn; headoffice@idico.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IDC
116,140(B2/2021)-264(B1/2021),200117929,TCH,116 Nguyễn Đức Cảnh - Phường Cát Dài - Quận Lê Chân - TP. Hải Phòng,0225-3610021,0225-3955322,cbtt@hoanghuy.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TCH
117,144(B2/2021)-270(B1/2021),200167782,NTP,Số 2 An Đà - Phường Lạch Tray - Quận Ngô Quyền - TP. Hải Phòng,0225-3813979,0225-3813989,contact@nhuatienphong.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NTP
118,143(B2/2021)-268(B1/2021),302588596,KDH,"Phòng 1&2, Tầng 11, Tòa nhà Saigon Centre, 67 Lê Lợi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38208858,028-38208859,info@khangdien.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KDH
119,142(B2/2021)-266(B1/2021),301378892,BVB,"Tòa nhà HM Town, số 412 Nguyễn Thị Minh Khai - Phường 5 - Quận 3 - TP. Hồ Chí Minh",028-62679679,028-62638638,N.A,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BVB
120,274(B1/2021),4200601069,KHP,Số 11 Lý Thánh Tôn - Phường Vạn Thạnh - TP. Nha Trang - Tỉnh Khánh Hòa,0258-2220220,0258-3823828,pckhanhhoa@cpc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KHP
121,145(B2/2021)-272(B1/2021),305371707,HTN,53 Trần Quốc Thảo - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-73075888,028-38249545,info@hungthinhincons.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HTN
122,146(B2/2021)-276(B1/2021),301955155,SSI,72 Nguyễn Huệ - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38242897,028-38242997,info@ssi.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SSI
123,286(B1/2021),1800156801,DHG,288 Bis - Nguyễn Văn Cừ - Phường An Hòa - Quận Ninh Kiều - TP. Cần Thơ,0292-3891433,0292-3895209,dhgpharma@dhgpharma.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DHG
124,149(B2/2021)-279(B1/2021),4600305723,TNG,"Số 434/1, Đường Bắc Kạn - Phường Hoàng Văn Thụ - TP. Thái Nguyên - Tỉnh Thái Nguyên",0208-3858508,0208-3856408,info@tng.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TNG
125,150(B2/2021)-281(B1/2021),2200208753,FMC,"Km 2132, Quốc lộ 1A - Phường 2 - TP. Sóc Trăng - Tỉnh Sóc Trăng",0299-3822223,0299-3822122,info@fimexvn.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FMC
126,289(B1/2021),4600451322,TTS,Tổ 21 - Phường Cam Giá - TP. Thái Nguyên - Tỉnh Thái Nguyên,0208-3735690,0208-3735716,info@ttr.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TTS
127,156(B2/2021)-294(B1/2021),2000110221,CMV,Số 70-72 Đề Thám - Phường 2 - TP. Cà Mau - Tỉnh Cà Mau,0290-3822847 / 3839220,0290-3834358,info@tncm.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CMV
128,157(B2/2021)-295(B1/2021),1700197787,KLB,40-42-44 Phạm Hồng Thái - Phường Vĩnh Thanh Vân - TP. Rạch Giá - Tỉnh Kiên Giang,0297-3869950 / 3877541,0297-3871171 / 3877538,kienlong@kienlongbank.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KLB
129,162(B2/2021)-301(B1/2021),3600512830,TLH,G1A - KP4 - Đường Đồng Khởi - Phường Tân Hiệp - TP. Biên Hòa - Tỉnh Đồng Nai,061-3823187,061-3289043,tienlen_metal@hcm.vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TLH
130,159(B2/2021)-298(B1/2021),900222647,VIS,Giai Phạm - Xã Giai Phạm - Huyện Yên Mỹ - Tỉnh Hưng Yên,0321-3942427,0321-3942226,pr@vis.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIS
131,161(B2/2021)-300(B1/2021),5200466372,HII,KCN Phía Nam - Xã Văn Tiến - TP. Yên Bái - Tỉnh Yên Bái,0216-3853886 / 3856555,0216-3851123,info@antienindustries.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HII
132,165(B2/2021)-304(B1/2021),300398889,MNB,Số 4 Bến Nghé - Phường Tân Thuận Đông - Quận 7 - TP. Hồ Chí Minh,028-38720077 / 38729124,028-38725107,info@nhabe.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MNB
133,167(B2/2021)-306(B1/2021),300446973,BMI,26 Tôn Thất Đạm - Phường Nguyễn Thái Bình - Quận 1 - TP. Hồ Chí Minh,028-38294180,028-38294185,baominh@baominh.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BMI
134,171(B2/2021)-313(B1/2021),303493756,PDR,"Tầng 8 và 9 Tháp B, Tòa nhà Viettel, 285 Đường Cách Mạng Tháng Tám - Phường 12 - Quận 10 - TP. Hồ Chí Minh",028-22266868,028-22268686,info@phatdat.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PDR
135,174(B2/2021)-316(B1/2021),600333307,MSH,Số 105 Đường Nguyễn Đức Thuận - Phường Thống Nhất - TP. Nam Định - Tỉnh Nam Định,0228-3649365,0228-3646737,info@songhong.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSH
136,172(B2/2021)-314(B1/2021),3700748131,ACG,"Thửa đất 681, Tờ bản đồ 05, Đường ĐT 747B, Khu phố Phước Hải, Phường Thái Hoà, Thị xã Tân Uyên, Tỉnh Bình Dương",0274-3626282 / 3626283,0274-3626284,ancuong.group@gmail.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACG
137,173(B2/2021)-315(B1/2021),302310209,LCG,"24A Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, TP. HCM",028-38411375,028-32411376,info@licogi16.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LCG
138,177(B2/2021)-320(B1/2021),102287094,SHN,"Tầng 5, Tòa nhà FLC Landmark Tower - Đường Lê Đức Thọ - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - TP. Hà Nội",024-35537188,024-35537168,info@shn.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHN
139,190(B2/2021)-341(B1/2021),302181666,GIL,334A Phan Văn Trị - Phường 11 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-71008888,028-35160118,business@gilimex.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GIL
140,189(B2/2021)-340(B1/2021),3600662561,DNP,Đường 9 KCN Nhơn Trạch 1-Phường An Bình-TP. Biên Hòa-Tỉnh Đồng Nai,0251-3836174,0251-3836174,info@dnpcorp.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DNP
141,193(B2/2021)-345(B1/2021),100101308,M10,765A Nguyễn Văn Linh - Phường Sài Đồng - Quận Long Biên - TP. Hà Nội,024-38276923,024-38276925,banbientap@garco10.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=M10
142,343(B1/2021),300405462,PAC,Số 321 Trần Hưng Đạo - Phường Cô Giang - Quận 1 - TP. Hồ Chí Minh,028-39302062 / 39302063,028-39302060 / 39302061,pinaco@pinaco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PAC
143,188(B2/2021)-339(B1/2021),303885305,NBB,"Tòa nhà Carina Plaza, 1648 Võ Văn Kiệt - Phường 16 - Quận 8 - TP. Hồ Chí Minh",028-62577577,028-62615577,nbb@nbb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NBB
144,191(B2/2021)-342(B1/2021),301446221,TCM,36 Tây Thạnh - Phường Tây Thạnh - Quận Tân Phú - TP. Hồ Chí Minh,028-38153962 / 38153968,028-38152757 / 38154008,tcm@thanhcong.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TCM
145,194(B2/2021)-346(B1/2021),301874259,TMS,172 (lầu 9-10) Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-22202888,028-22202889,info@transimex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TMS
146,352(B1/2021),300420157,TV2,32 Ngô Thời Nhiệm - Phường 7 - Quận 3 - TP. Hồ Chí Minh,028-22216468,028-22210408,info@pecc2.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TV2
147,201(B2/2021)-356(B1/2021),304132047,FHS,60-62 Lê Lợi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38225446 / 38223798,028-38225795,fahasa-sg@fahasa.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FHS
148,364(B1/2021),5700100707,MTS,"Tổ 1, Khu 2 - Phường Hồng Hà - TP. Hạ Long - Tỉnh Quảng Ninh",0203-3695899,0203-3634899,mts@vmts.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MTS
149,208(B2/2021)-367(B1/2021),101502599,FCN,"Tầng 15, Tháp CEO, Lô HH2-1, KĐT Mễ Trì Hạ - Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-62690481,024-62690484,info@fecon.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FCN
150,210(B2/2021)-369(B1/2021),3500101107,DIG,265 Lê Hồng Phong - Phường 8 - TP. Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu,0254-3859248,0254-3560712,info@dic.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DIG
151,214(B2/2021)-375(B1/2021),3700145694,BWE,11 Ngô Văn Trị-Phường Phú Lợi-TP. Thủ Dầu Một-Tỉnh Bình Dương,0274-3824245,0274-3827738,binhduong@biwase.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BWE
152,218(B2/2021)-379(B1/2021),303104343,DXG,2W Ung Văn Khiêm-Phường 25-Quận Bình Thạnh-TP. Hồ Chí Minh,028-62525252,028-62853896,info@datxanh.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DXG
153,219(B2/2021)-380(B1/2021),105202998,THD,Số 210 Đường Trần Quang Khải - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội,024-39689898,024-35259898,info@thaigroup.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=THD
154,222(B2/2021)-383(B1/2021),300482393,TCD,89 Cách Mạng Tháng 8-Phường Bến Thành-Quận 1-TP. Hồ Chí Minh,028-38330314,028-38330317,tracodi@tracodi.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TCD
155,223(B2/2021)-384(B1/2021),301438936,NLG,Số 6 Nguyễn Khắc Viện - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,028-54161718,028-54171819,info@namlongvn.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NLG
156,390(B1/2021),100110768,PGI,Tầng 21 - 22 Tòa nhà Mipec - 229 Tây Sơn - Quận Đống Đa - TP. Hà Nội,024-37760867,024-37760868,pjico@petrolimex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGI
157,389(B1/2021),301444263,LIX,"Số 3, Đường Số 2 - Phường Linh Trung - Quận Thủ Đức - TP. Hồ Chí Minh",028-38966803,028-38967522,lixco@lixco.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LIX
158,391(B1/2021),300483319,CDP,"Lầu 2,3,4,5,6 Tòa nhà 509-515 Đường Tô Hiến Thành - Phường 14 - Quận 10 - TP. Hồ Chí Minh",028-38651909,028-38650750,contact@codupha.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CDP
159,227(B2/2021)-392(B1/2021),200786983,AMS,Km 35-Quốc lộ 10-Xã Quốc Tuấn-Huyện An Lão-Hải Phòng,0225-3922786,0225-3922783,info@amecc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=AMS
160,397(B1/2021),101447725,PGC,"Tầng 20, Tòa nhà Mipec, Số 229 Tây Sơn - Quận Đống Đa - TP. Hà Nội",024-38642243 / 38641212,024-38642249,pgas@petrolimex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGC
161,229(B2/2021)-394(B1/2021),3600261626,VCF,KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3836554,0251-3834967,vinacafe@vinacafebienhoa.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VCF
162,399(B1/2021),100104443,VLC,519 Minh Khai - Phường Vĩnh Tuy - Quận Hai Bà Trưng - TP. Hà Nội,024-38621814 / 38621688,024-38623645,vilico@vilico.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VLC
163,233(B2/2021)-400(B1/2021),300450673,COM,"COMECO Tower, 549 Điện Biên Phủ - Phường 3 - Quận 3 - TP. Hồ Chí Minh",028-38321111 / 38302222,028-38325555,comecopetro@hcm.vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=COM
164,235(B2/2021)-402(B1/2021),1300358260,DHC,"Lô AIII, KCN Giao Long - Xã An Phước - Huyện Châu Thành - Tỉnh Bến Tre",0275-2470655,0275-3635222,donghaibentre@yahoo.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DHC
165,237(B2/2021)-404(B1/2021),303224471,ASP,"Phòng 805, Lầu 8, Tòa nhà Paragon, Số 3 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",08-54136338,08-54136340,info@anphapetrol.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ASP
166,242(B2/2021)-410(B1/2021),300585984,VOC,58 Nguyễn Bỉnh Khiêm - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38294513,028-38290586,vocar@vocarimex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VOC
167,243(B2/2021)-411(B1/2021),300402493,FIC,"Tầng 15, Tòa nhà Sailling Tower, Số 11A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38230809,028-38213233,fico@fico.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FIC
168,245(B2/2021)-414(B1/2021),301464830,TLG,"Lô 6, 8, 10, 12 Đường Số 3, KCN Tân Tạo - Phường Tân Tạo A - Quận Bình Tân - TP. Hồ Chí Minh",028-37505555,028-37505577,info@thienlonggroup.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TLG
169,419(B1/2021),3700147532,PHR,Xã Phước Hoà - Huyện Phú Giáo - Tỉnh Bình Dương,0274-3657106,0274 3657110,phuochoarubber@hcm.vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PHR
170,247(B2/2021)-416(B1/2021),300384357,RDP,190 Lạc Long Quân - Phường 3 - Quận 11 - TP. Hồ Chí Minh,028-39692272,028-39692843,info@rdplastic.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=RDP
171,248(B2/2021)-420(B1/2021),1100414052,HLG,"Tòa nhà Hoàng Long, Số 68 Nguyễn Trung Trực - Khu phố 9 - Thị trấn Bến Lức - Huyện Bến Lức - Tỉnh Long An",0272-3872848 / 39232401,0272-3655335,info@hoanglonggroup.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HLG
172,250(B2/2021)-422(B1/2021),301116791,GMD,Số 6 Lê Thánh Tôn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38236236,028-38235236,info@gemadept.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GMD
173,249(B2/2021)-421(B1/2021),311315789,BCG,"Tầng 14, Vincom Center, 72 Lê Thánh Tôn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62680680,028-62991188,info@bamboocap.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BCG
174,258(B2/2021)-430(B1/2021),102385623,MIG,"Tầng 5-6, tòa nhà MB, số 21 Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội.",024-62853388,024-62853366,info@mic.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MIG
175,259(B2/2021)-431(B1/2021),500443916,XMC,Tầng 4-Tòa Tháp Xuân Mai-Đường Tô Hiệu-Phường Hà Cầu-Quận Hà Đông-TP. Hà Nội,024-73038866,024-73078866,info@xuanmaicorp.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=XMC
176,265(B2/2021)-441(B1/2021),302511219,VNF,"Lầu 1, Block C, Tòa nhà văn phòng WASECO, số 10 đường Phổ Quang - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh",028-38446409,028-38488359,mngt@vinafreight.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VNF
177,275(B2/2021)-453(B1/2021),100106426,LIG,Tầng 1 - Đơn nguyên A - Tòa nhà LICOGI 13 - Đường Khuất Duy Tiến - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội,04-38544623,04-38544107,banbientap@licogi13.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LIG
178,278(B2/2021)-458(B1/2021),200826844,VPG,97 Bạch Đằng-Phường Hạ Lý- Quận Hồng Bàng-TP. Hải Phòng,0225-3569 699,0225-3569 689,info@vietphatjsc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VPG
179,282(B2/2021)-463(B1/2021),304475742,CMF,"Lô C40-43/I, C51-55/II, Đường số 7, KCN Vĩnh Lộc - Xã Vĩnh Lộc A - Huyện Bình Chánh - TP. Hồ Chí Minh",028-37653389,028-37653025,cholimexfood@cholimexfood.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CMF
181,284(B2/2021)-465(B1/2021),102702590,VPI,104 Thái Thịnh - Phường Trung Liệt - Quận Đống Đa - TP. Hà Nội,024-62583535,024-62583636,info@vanphu.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VPI
182,288(B2/2021)-471(B1/2021),302910950,HCM,"Tầng 5, 6 Toà Nhà Ab, 76 Lê Lai - Phường Bến Thành - Quận 1 - TP. Hồ Chí Minh",028-38233299,028-38233301,info@hsc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HCM
183,285(B2/2021)-466(B1/2021),311500196,AGG,30 Nguyễn Thị Diệu-Phường 06-Quận 3-Thành phố Hồ Chí Minh,028-71089999,028-39309595,info@angia.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=AGG
184,291(B2/2021)-474(B1/2021),100150873,PVC,Tầng 6 & 7 - Tòa nhà Viện Dầu khí - số 173 - Trung Kính - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội,04-38342861,04-38562552,dmc@pvdmc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVC
185,478(B1/2021),200236845,PHP,8A Trần Phú - Phường Máy Tơ - Quận Ngô Quyền - TP. Hải Phòng,0225-3859945,0225-3859973,haiphongport@haiphongport.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PHP
186,294(B2/2021)-480(B1/2021),101160306,CRE,"Tầng 1, Số 137 Nguyễn Ngọc Vũ - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội",024-62636688,024-37754599,info@cenland.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CRE
187,481(B1/2021),3700805566,IJC,"Tầng 15, Becamex Tower, 230 Đại lộ Bình Dương - Phường Phú Hòa - TP. Thủ Dầu Một - Tỉnh Bình Dương",0274-3848789,0274-3848678,info@becamexijc.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IJC
188,482(B1/2021),100931299,BIC,"Tầng 11, Tòa nhà 263 Cầu Giấy - Phường Dịch Vọng - Quận Cầu Giấy - TP. Hà Nội",024-22200282,024-22200281,bic@bidv.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BIC
