,Công ty 1,Thông tin hoá đơn,Công ty 2,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên quốc tế,Tên viết tắt
724,1602155813 - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU LIÊN MINH,,,,,,,,,,,,,
725,1602093370 - CÔNG TY TNHH MỘT THÀNH VIÊN ÚT HƯNG CHỢ MỚI,,,,,,,,,,,,,
726,1602154425 - CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT DƯƠNG HOA,,,,,,,,,,,,,
727,1602136472 - HỢP TÁC XÃ SX-TM-DV-NN PHƯỚC LỘC THẠNH,,,,,,,,,,,,,
728,1602153566 - CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐÁ HOA CƯƠNG LÊ NGUYÊN KHÔI,,,,,,,,,,,,,
729,1602155073 - DOANH NGHIỆP TN TIỆM VÀNG HỮU TÂM TÍN,,,,,,,,,,,,,
730,1601205684 - TRƯỜNG TIỂU HỌC B PHÚ HƯNG,,,,,,,,,,,,,
731,1600383490 - DOANH NGHIỆP TN HIỆP HƯNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT.,1601390959 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT,1601390959,"Số 7 Lê Hồng Phong, Phường Mỹ Bình, Thành phố Long Xuyên , Tỉnh An Giang, Việt Nam",ĐỖ HUYỀN TRANG,Bị ẩn theo yêu cầu người dùng,2010-08-12,Cục Thuế Tỉnh An Giang,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Dịch vụ liên quan đến in,,CÔNG TY TNHH HIỆP THÀNH PHÁT
732,1601869413 - Nguyễn Thị Bích Thủy,,,,,,,,,,,,,
733,1602144748 - CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THIÊN PHÚC CHỢ MỚI,,,,,,,,,,,,,
734,1602154263 - CÔNG TY TNHH THỰC PHẨM DCG,,,,,,,,,,,,,
735,1600372065 - UBND XÃ HÒA LẠC,,,,,,,,,,,,,
736,1602155838 - CÔNG TY TNHH MỘT THÀNH VIÊN THANH SANG THOẠI SƠN,,,,,,,,,,,,,
737,1602151664 - CÔNG TY CỔ PHẦN AGM TRADE CENTER,,,,,,,,,,,,,
738,1601206649 - TRƯỜNG TIỂU HỌC B PHÚ MỸ,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MEKONGSOFT.,1801640162 - CÔNG TY CỔ PHẦN MEKONGSOFT,1801640162,"Tầng 1, số 41 Cách Mạng Tháng Tám, Phường An Hòa, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",NGUYỄN THỊ THU HƯƠNG,0932324898,2019-06-07,Chi cục Thuế Quận Ninh Kiều,Công ty cổ phần ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,"Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm",MEKONGSOFT JOINT STOCK COMPANY,MEKONGSOFT JSC
739,1601883986 - DOANH NGHIỆP TN DI DỜI NHÀ NGUYỄN HUỲNH,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CP IN AN GIANG.,1600192305 - CÔNG TY CP IN AN GIANG,1600192305,"Số 53/5 Trần Hưng Đạo, Phường Mỹ Thạnh, Thành phố Long Xuyên , Tỉnh An Giang, Việt Nam",ĐẶNG HỒNG ĐỨC,0763831577-3832307-,1999-01-26,Cục Thuế Tỉnh An Giang,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,,
740,1600685156 - UBND XÃ LONG HOÀ,,,,,,,,,,,,,
741,1600801116 - CÔNG TY TNHH KHÁCH SẠN - NHÀ HÀNG S.F.O,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT.,1601390959 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT,1601390959,"Số 7 Lê Hồng Phong, Phường Mỹ Bình, Thành phố Long Xuyên , Tỉnh An Giang, Việt Nam",ĐỖ HUYỀN TRANG,Bị ẩn theo yêu cầu người dùng,2010-08-12,Cục Thuế Tỉnh An Giang,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Dịch vụ liên quan đến in,,CÔNG TY TNHH HIỆP THÀNH PHÁT
742,1601209209 - TRƯỜNG TRUNG HỌC CƠ SỞ HÒA LẠC,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JOINT STOCK COMPANY,MISA JSC
743,6300152861 - CÔNG TY TNHH MỘT THÀNH VIÊN HƯƠNG LỢI,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CP IN TỔNG HỢP CẦN THƠ.,1800157925 - CÔNG TY CP IN TỔNG HỢP CẦN THƠ,1800157925,"500, đường 30/4, Phường Hưng Lợi, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",TRẦN BÌNH TRỌNG,02923838553,2006-01-18,Cục Thuế Thành phố Cần Thơ,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,CAN THO GENERAL PRINTING JOINT STOCK COMPANY,CAN THO PRINTING COMPANY
744,1602155059 - CÔNG TY TNHH DI DỜI NHÀ NGUYỄN HUỲNH CHỢ MỚI,,,,,,,,,,,,,
745,1601949242 - DOANH NGHIỆP TN KHÁCH SẠN THANH MAI CHÂU ĐỐC,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT.,1601390959 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT,1601390959,"Số 7 Lê Hồng Phong, Phường Mỹ Bình, Thành phố Long Xuyên , Tỉnh An Giang, Việt Nam",ĐỖ HUYỀN TRANG,Bị ẩn theo yêu cầu người dùng,2010-08-12,Cục Thuế Tỉnh An Giang,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Dịch vụ liên quan đến in,,CÔNG TY TNHH HIỆP THÀNH PHÁT
746,1602155919 - DOANH NGHIỆP TƯ NHÂN TIỆM VÀNG TRUNG THỰC - KIM CƯƠNG,,,,,,,,,,,,,
747,1602145614 - CÔNG TY CỔ PHẦN KINH DOANH BẤT ĐỘNG SẢN & QUẢN LÝ NHÀ CAO TẦNG MARINA HOME,,,,,,,,,,,,,
