,Công ty 1,Thông tin hoá đơn,Công ty 2,Tên quốc tế,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên viết tắt
144,5600312338 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUẢNG CÁO VÀ NỘI THẤT BIGSUN ĐIỆN BIÊN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM 3A VIỆT NAM.,0108516079 - CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM 3A VIỆT NAM,,0108516079,"Số 1A, ngõ 343, đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",NGUYỄN NGỌC TÚ,0243 7910898,2018-11-16,Chi cục Thuế Quận Tây Hồ,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,
145,6400092172 - CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT-THƯƠNG MẠI-DỊCH VỤ NGỌC HƯNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN PHÁT TÀI.,0302884186 - CÔNG TY CỔ PHẦN PHÁT TÀI,PHAT TAI JOINT STOCK COMPANY,0302884186,"Lô số 3, đường số 8, Khu công nghiệp Tân Tạo, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",ĐOÀN VIẾT TUẤN ( sinh năm 1976 - Hồ Chí Minh) Ẩn thông tin,02838759535,2003-03-06,Cục Thuế Thành phố Hồ Chí Minh,,,In ấn,PHAT TAI JSC
146,6400232101-001 - TRUNG TÂM VIỄN THÔNG GIA NGHĨA - ĐẮK GLONG,,,,,,,,,,,,,
147,6400031275 - SỞ XÂY DỰNG,,,,,,,,,,,,,
148,5600190520 - CÔNG TY TRÁCH NHIỆM HỮU HẠN ANH TUÂN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN.,5600101256 - CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN,,5600101256,"Số nhà 489, Tổ dân phố 15, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",HOÀNG THÁI HÀ,02303 810715,2005-08-01,Cục Thuế Tỉnh Điện Biên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,CÔNG TY CP IN ĐIỆN BIÊN
149,5600239663 - CÔNG TY TNHH XÂY DỰNG LẠC VIỆT TỈNH ĐIỆN BIÊN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN.,5600101256 - CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN,,5600101256,"Số nhà 489, Tổ dân phố 15, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",HOÀNG THÁI HÀ,02303 810715,2005-08-01,Cục Thuế Tỉnh Điện Biên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,CÔNG TY CP IN ĐIỆN BIÊN
150,5600202656 - CÔNG TY TRÁCH NHIỆM HỮU HẠN SƠN YẾN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH VIỆT NAM SÁNG TẠO.,0101303681 - CÔNG TY TNHH VIỆT NAM SÁNG TẠO,VIET NAM CREATIVE COMPANY LIMITED,0101303681,"Số 16, ngõ 69/15, phố Ái Mộ, tổ 10, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, Việt Nam",BÙI HUY THUẬN,02438720910,2002-10-31,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,"vcc co., ltd"
151,5600296534 - CÔNG TY TNHH BÍCH ĐÀO ĐIỆN BIÊN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN.,5600101256 - CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN,,5600101256,"Số nhà 489, Tổ dân phố 15, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",HOÀNG THÁI HÀ,02303 810715,2005-08-01,Cục Thuế Tỉnh Điện Biên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,CÔNG TY CP IN ĐIỆN BIÊN
152,5600128113 - CÔNG TY TNHH XĂNG DẦU ĐIỆN BIÊN (TÊN CHÍNH THỨC: CÔNG TY XĂNG DẦU ĐIỆN BIÊN),Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của .,Không xác định,,,,,,,,,,,
153,5600186940 - DOANH NGHIỆP TƯ NHÂN HOÀNG ĐẠT,,,,,,,,,,,,,
154,5600287794 - CÔNG TY TNHH THIẾT KẾ VÀ SẢN XUẤT TRANG PHỤC DÂN TỘC ÔNG LÊ,,,,,,,,,,,,,
155,5600205086 - CÔNG TY TNHH TƯ VẤN THÁI LINH TỈNH ĐIỆN BIÊN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN.,5600101256 - CÔNG TY CỔ PHẦN IN ĐIỆN BIÊN,,5600101256,"Số nhà 489, Tổ dân phố 15, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",HOÀNG THÁI HÀ,02303 810715,2005-08-01,Cục Thuế Tỉnh Điện Biên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,CÔNG TY CP IN ĐIỆN BIÊN
156,6100405191 - VĂN PHÒNG HĐND - UBND HUYỆN ĐĂKGLEI,,,,,,,,,,,,,
157,0100686174-781 - NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN ĐĂKGLEI KON TUM,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
158,6100310503 - BAN DÂN VẬN TỈNH UỶ KON TUM,,,,,,,,,,,,,
159,6100139006 - CÔNG AN HUYỆN ĐĂK GLEI,,,,,,,,,,,,,
160,6100143450-003 - CHI CỤC THUẾ HUYỆN ĐĂK GLEI,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
161,6100470930 - PHÒNG LAO ĐỘNG THƯƠNG BINH VÀ XÃ HỘI,,,,,,,,,,,,,
162,6100242821 - PHÒNG TÀI CHÍNH KẾ HOẠCH ĐẮKGLEI,,,,,,,,,,,,,
163,1601945329 - CÔNG TY TNHH DẠY THÊM - HỌC THÊM THỦY TIÊN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT.,1601390959 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT,,1601390959,"Số 7 Lê Hồng Phong, Phường Mỹ Bình, Thành phố Long Xuyên , Tỉnh An Giang, Việt Nam",ĐỖ HUYỀN TRANG,Bị ẩn theo yêu cầu người dùng,2010-08-12,Cục Thuế Tỉnh An Giang,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Dịch vụ liên quan đến in,CÔNG TY TNHH HIỆP THÀNH PHÁT
164,1602040812 - CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ THƯƠNG MẠI SẢN XUẤT PHÚC LỢI,,,,,,,,,,,,,
